"Vulvar"	"Anal"	"Vaginal"
"Prevotella histicola"	0	0	0.000326967253068163
"Prevotella intermedia"	0.00555846516683632	0.00361179094350758	0.00160916180905109
"Prevotella jejuni"	0.00195831294161846	0.00187149527681477	0.000977225747482448
"Prevotella multiformis"	0	0	0.00049185011299532
"Prevotella nigrescens"	0.00197837475193863	0.00143374830234005	0.00120414048357386
"Prevotella scopos"	0	0	0.00032142446803185
"Prevotella sp. oral taxon 299"	0	0	0.000322441957273336
"Prevotella sp. oral taxon 475"	0	0	8.25479333688687e-05
"Prevotella veroralis"	0	0	0.000335042187196322
"Pseudomonas aeruginosa"	0.0119722540096477	0	0
"Pseudomonas fluorescens"	0.0162454945611247	0	0
"Roseburia intestinalis"	0	0.00211229375323717	0
"Ruminococcus bicirculans (ex Wegman et al. 2014)"	0	0.00255294752802092	0
"Ruminococcus sp. SR1/5"	0	0.00282721836646012	0
"Ruthenibacterium lactatiformans"	0	0.00199400057947135	0
"Salmonella bongori"	0.00122441704361983	0	0.000105965336717997
"Salmonella enterica"	0.0157045849520529	0	0
"Schaalia turicensis"	0.00207882072343623	0.0019408259357548	0.00258339571853602
"Segatella copri"	0.00638130243985604	0.0238458191940142	0
"Simiaoa sunii"	0	0.00376171248221059	0
"Sneathia vaginalis"	0.0066060000881412	0	0.0118400750423875
"Staphylococcus capitis"	0.00109201404468678	0.00200416163204671	0
"Staphylococcus epidermidis"	0.0181021139874991	0.0156459146722217	0
"Staphylococcus equorum"	0.0144996803867143	0	0
"Staphylococcus hominis"	0.00402775345790228	0	0
"Staphylococcus pseudintermedius"	0	0	0.00136683047334245
"Stenotrophomonas maltophilia"	0.00177110864527616	0	0
"Streptobacillus moniliformis"	0	0	7.38154571652696e-05
"Streptococcus agalactiae"	0.0015639918154739	0.00267470682721355	0.000337671011673716
"Streptococcus anginosus"	0.0108417107317302	0.0152248248279575	0.000935523248939485
"Streptococcus constellatus"	0.00146728478410351	0.00216934210085903	0
"Streptococcus dysgalactiae"	0.00176751651888899	0.00376607001073227	0.000293537135782177
"Streptococcus equi"	0	0	7.6827955141225e-05
"Streptococcus intermedius"	0	0	0.000196411841323558
"Streptococcus pyogenes"	0.00203071315602331	0.00335926651115913	0.000441979081871711
"Streptococcus salivarius"	0	0.00170987105303332	0
"Streptococcus urinalis"	0.00216045461774107	0	0
"Sutterella wadsworthensis"	0	0.00388787119499497	0
"Tessaracoccus timonensis"	0	0.00182534048487656	0
"Trichomonas vaginalis"	0.00812375994485687	0	0.0231181717874894
"Ureaplasma parvum"	0.00464813727283265	0	0.00306332754105092
"Ureaplasma urealyticum"	0	0	0.000445772003678326
"Varibaculum prostatecancerukia"	0.00384088204007254	0.00186024298881806	0.00162623551916088
"Veillonella atypica"	0.00184095393849775	0	0
"Veillonella parvula"	0.00198956337038268	0	0
"Vescimonas coprocola"	0	0.00281365835708426	0
"Vescimonas fastidiosa"	0	0.00155643098980568	0
