"H_TT1"	"H_TT2"	"H_TT3"	"H_TT5"	"H_TT7"	"H_TT11"	"H_TT12"	"H_TT16"	"H_TT20"	"H_TT21"	"H_TT23"	"H_TT24"	"H_TT28"	"H_TT41"	"H_TT51"	"H_TT52"	"H_TT54"	"H_TT55"	"H_TT56"	"H_TT60"	"H_TT62"	"H_TT65"	"H_TT69"	"H_TT71"	"H_TT74"	"H_TT81"	"H_BP1"	"H_BP4"	"H_BP5"	"H_BP7"
"Lactobacillus acetotolerans"	3.69799341188251e-05	0.00220484183458559	3.26539725511265e-05	8.04270340394855e-05	9.70509738182941e-05	8.48679760582973e-05	0.000293060104048915	1.66076323887796e-05	0	2.44022485060529e-05	4.55166135639508e-06	5.50735338856406e-05	1.04786517118842e-05	1.75100949503931e-05	1.19678463860428e-05	3.20019061729459e-05	2.54581422233722e-05	6.65604683365819e-05	4.1730879947435e-05	0.000632573841992892	0.000157564410369857	4.06757209937344e-05	4.93891935803028e-05	4.96991795704362e-05	3.8396288327387e-05	2.2724122337585e-05	5.42097763459513e-05	0.00013713742388873	0	6.99551142548717e-05
"Lactobacillus panisapium"	0.000566077453049707	0.000114531014663324	1.93970178829341e-05	3.309237338083e-05	1.85279131834925e-05	2.87147287415292e-05	5.25118426782926e-05	3.2416820912714e-05	2.53377614087795e-05	1.51938528433914e-05	0	1.68188636417226e-05	6.54915731992764e-06	2.05553288548093e-05	1.19678463860428e-05	3.64378139592948e-05	1.41897841900763e-05	2.76362178473527e-05	1.35558909383388e-05	2.58897888946614e-05	3.08817227763525e-05	2.87382811368776e-05	2.24496334455922e-05	4.07140171622218e-05	1.86092440359728e-05	1.3634473402551e-05	3.87212688185366e-05	2.13324881604691e-05	1.84929195234375e-05	2.34395058152687e-05
"Lactobacillus gasseri"	0.303144432244227	0.000279858211562265	0.0143684456569519	7.12114363891278e-05	0.000112049760681121	0.000110392179384101	0.686805786364844	0.000397944422238833	0.000550191390590641	0.00318242154101581	0.00025944469731452	0.0227156891471665	0.000728921209707947	0.0004324232144271	0.000101061813926584	0.459367084677044	0.000277952831487966	0.000140127301761225	0.000112699956036385	0.000184680494115251	0.000499968329328102	0.000241622625250824	0.000164844451300491	0.00021199367556881	0.000152525133079651	8.18068404153061e-05	0.000641805030667245	0.00599138167478317	0.551990531625204	9.03056929471981e-05
"Lactobacillus amylolyticus"	1.70676619009962e-05	0.000276024537431275	1.53501580368543e-05	6.4509183552504e-05	5.64660211306438e-05	7.91250303099915e-05	4.57827802033498e-05	3.36943310964662e-05	6.69640837232031e-05	3.08481254699159e-05	0	5.11161542052353e-05	1.24433989078625e-05	5.55755187555956e-05	2.79249749007666e-05	1.80604817015635e-05	3.31790542091491e-05	8.07678197651505e-05	2.8440790792201e-05	7.42173948313625e-05	7.10054209821244e-05	4.50969950147925e-05	4.32957216450707e-05	0.000116807111306788	9.65796209461882e-06	3.6358595740136e-05	0.000102611362369122	5.79024678641303e-05	0	4.66973100350702e-05
"Lactobacillus intestinalis"	2.27568825346616e-05	0.000108301294200466	5.16323497603282e-06	5.02668962746784e-05	5.47014579703112e-05	0.00010273491838636	6.33915418200227e-05	6.27576877768305e-05	6.51542436225759e-05	5.06461761446381e-06	0	2.93505659630061e-05	3.6020365259602e-05	0	1.06380856764825e-05	3.48535611784559e-05	0	6.03325882583052e-05	3.42884300205039e-05	6.04095074208765e-05	0.00017920415771679	8.20146330906275e-05	3.07880687253836e-05	9.40634189609951e-05	5.5356612005742e-06	4.544824467517e-05	5.22737129050245e-05	3.96174780122997e-05	3.69858390468749e-05	5.30568658764222e-05
"Lactobacillus apis"	9.95613610891444e-06	2.68357189169296e-05	3.07003160737087e-06	2.63901205442062e-05	1.58810684429936e-05	2.1057467743788e-05	1.66025466671488e-05	1.10185253348634e-05	0	3.22293848193152e-06	0	1.36859380614017e-05	0	5.32915933272835e-06	0	9.18866612886566e-06	6.4688722042995e-06	1.5958942700584e-05	1.64797105524903e-05	1.98488381525737e-05	1.84839508588387e-05	2.3211688610555e-05	1.53940343626918e-05	2.89209915014403e-05	3.06228066414743e-06	1.8179297870068e-05	2.27487454308903e-05	0	1.38696896425781e-05	2.74369409155471e-05
"Lactobacillus kefiranofaciens"	3.12907134851597e-05	0.00144625356591595	3.48867228110326e-05	0.00100743237950501	0.000569953900787436	0.00079188840818306	0.000115903384498315	0.000177573915541566	0	4.09773606988436e-05	0	0.000774986854079374	0	0.000230676468259527	0.00119146559576604	8.30148457159587e-05	8.76427847034126e-05	0.000955784970763022	0.000153101827068297	0.0021738792741884	0.0021921514890513	0.0004567176063753	0.000110003203883402	0.00153421648120262	3.86318483784753e-05	0.000122710260622959	0.00573026376928319	0.000173707403592391	0	0.000391566938231815
"Limosilactobacillus portuensis"	0	0	0	0	0	0	0	0.0016120581631224	0	0	0	0.00313919143148152	0	0	0	0	0	4.6709100587075e-06	0.000851097309501191	0	2.25414034863887e-06	0	0.000879704922017991	0.00581789265931886	0	0	0	0	0	1.14472005144336e-05
"Limosilactobacillus vaginalis"	0	1.05426038602223e-05	2.93048471612674e-06	0	1.85279131834925e-05	2.0419362660643e-05	6.47750873756185e-06	8.46350496735882e-05	0	0	0	8.34347549285454e-05	0	6.0904678088324e-06	4.92011462537316e-05	1.17234705782079e-05	3.13009945369331e-06	3.15286428962756e-05	3.10988086232478e-05	0	6.08617894132495e-06	2.65276441263485e-06	9.62127147668237e-05	0.000201885367859569	1.33091428864869e-05	0	1.06483489250976e-05	0	0	1.34459180645727e-05
"Limosilactobacillus reuteri"	3.98245444356578e-05	0.000236250168322255	7.42389461418773e-05	0.000111424953408871	3.88203895273176e-05	0.00013655448779305	0.000166088355105833	0.000108428676845974	8.68723248301013e-05	0.000488965809687324	1.51722045213169e-05	0.000170002435437412	6.09071630753271e-05	4.72011255184511e-05	0.000554510215886651	0.00260197676724982	4.42387389455321e-05	0.000340003328023417	0.000143267161093423	0.00046687919306706	0.000151703645463396	8.90886715243204e-05	0.000191784011435202	0.000347613470667797	0.00026594729767865	0.000234058460077126	0.000193606344092683	0.00072225709914731	0.00139852703895996	0.00152774701468821
"Limosilactobacillus panis"	0	0	0	0	0	0	0	1.75657650265938e-06	0	0	0	0	0	0	0	0	0	1.22611389041072e-05	0	6.04095074208765e-05	0	0	0	5.61572650513404e-06	3.41562074077983e-06	0	0	0	0	4.08828589801198e-05
"Limosilactobacillus frumenti"	0	0	0	0	0	0	0	1.27751018375227e-06	0	0	0	9.56366756097951e-06	0	0	3.19142570294476e-05	0	0	2.5300762817999e-06	0	8.62992963155378e-06	0	0	0	9.26594873347116e-06	7.30236158373618e-06	0	0	0	0	3.99743510027838e-06
"Lactiplantibacillus plantarum"	0.000187744280910958	0.000202226310409719	0.0001628512220819	0.000468319916959087	0.000345854379425194	0.000544303635922764	0.000491913333448629	0.00050924749699825	0.000533902829684997	0.00056171213542235	0.000164618419056289	0.000378259541118741	0.000136877387986488	0.000394357790621898	0.000554510215886651	0.000508861993205457	0.000341180840452571	0.000547858825635901	0.000615331127887338	0.000594602151614056	0.000692471915101861	0.000819925267205222	0.000293128070989589	0.000500361231607443	0.000234971150960543	0.000315865300492432	0.000648097236850257	0.00033217731564159	0.000205733729698242	0.000507310854544421
"Lactiplantibacillus pentosus"	0	0.000113572596130577	6.55870388847412e-05	0.000273535693894708	0.000170280344972098	0.000200364996107559	8.67860393964597e-06	2.74664689506739e-05	3.98164822137964e-05	1.56542726265245e-05	1.21377636170536e-05	6.16691666863162e-05	1.76827247638046e-05	3.57814983768903e-05	4.52118641250507e-05	1.48919761398857e-05	4.59081253208352e-05	0.000188782614872761	0.000140609143262377	0.00014757179669957	0.000120821922687043	0.000164471393583361	0.000164203033202046	0.000122703624137179	4.98209508051678e-05	0.000122710260622959	0.000123424044359086	5.48549695554919e-05	1.61813045830078e-05	0.000198599843845649
"Lactiplantibacillus paraplantarum"	0	5.12753915019904e-05	8.93100103962434e-06	2.89034653579401e-05	3.88203895273176e-05	2.55242033258037e-05	3.01235600513799e-05	8.60722486303095e-05	7.78231243269657e-05	9.3925635759147e-05	8.34471248672432e-06	0.000110806631051349	3.07810394036599e-05	6.0904678088324e-06	4.92011462537316e-05	3.58041128469593e-05	7.49137135917265e-05	0.000118135100234811	3.74780514177601e-05	0.000152749754478502	0.000157564410369857	7.80354864716752e-05	2.05253791502557e-05	0.000148255179735539	1.23669026821339e-05	5.4537893610204e-05	0.000243943993556781	0	0	5.21483578990862e-05
"Ligilactobacillus salivarius"	4.83583753861558e-05	0.000116927060995193	5.16323497603282e-05	0.00363136436504323	0.000146458742307607	0.000188879104610947	6.8045285961572e-05	7.71296773440436e-05	2.89574416100338e-05	4.42002991807751e-05	1.06205431649219e-05	7.12328342472957e-05	1.96474719597829e-05	4.33945831379308e-05	3.19142570294476e-05	2.66154467180936e-05	4.77861849930512e-05	0.00012475222281798	6.37924279451236e-05	6.55874651998088e-05	8.85877157015076e-05	7.05193206358765e-05	5.09927388264165e-05	0.000178299316538006	2.66182857729738e-05	0.000118165436155442	0.00012197199677839	2.13324881604691e-05	8.78413677363279e-05	7.90401940282317e-05
"Ligilactobacillus ruminis"	0	3.06693930479195e-05	7.25643834469478e-06	9.21559765035771e-06	6.08774290314754e-05	5.04103015684623e-05	1.86149765661972e-05	8.94257128626592e-06	9.04920050313555e-06	1.15104945783268e-05	0	9.39877674096262e-06	2.68515450117033e-05	3.80654238052025e-06	6.64880354780157e-06	6.65386167952341e-06	1.06423381425572e-05	2.12137165166299e-05	1.19610802397107e-05	1.55338733367968e-05	2.54717859396192e-05	2.10010516000259e-05	9.62127147668237e-06	1.29161709618083e-05	8.36238181363337e-06	1.59068856363095e-05	8.71228548417074e-06	0	0	1.88969659285887e-05
"Lacticaseibacillus rhamnosus"	0	1.34178594584648e-05	1.32569546681924e-05	4.18890802288987e-05	5.99951474513091e-05	5.16865117347525e-05	6.47750873756185e-06	3.2576509685683e-05	0	3.63731628675128e-05	0	1.56646279016044e-05	5.89424158793488e-06	1.82714034264972e-05	1.72868892242841e-05	8.55496501653009e-06	1.41897841900763e-05	3.11394003913833e-05	1.88719266004324e-05	3.96976763051474e-05	2.77259262882581e-05	3.78018928800466e-05	2.53360148885969e-05	2.83594188509269e-05	1.77847838571639e-05	0	4.79175701629391e-05	9.751994587643e-05	0	4.39717861030622e-05
"Lacticaseibacillus sp. NCIMB 15474"	0	0.000195038171414113	0	0.000415120785068386	0.000166751218651433	0.000294804548413033	0	0	0	0	0	5.32597348654549e-05	0	0	0	0	0	0.000226539137847314	0.000439636149255144	0.000238186057830884	0.000347588441760114	0.000366523616345715	0.000316219122533627	0.00010726037624806	0	0.000209061925505782	0.000131168298122793	0	0	0.000496227057220921
"Leuconostoc gelidum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
