"H_TT1"	"H_TT2"	"H_TT3"	"H_TT5"	"H_TT7"	"H_TT11"	"H_TT12"	"H_TT16"	"H_TT20"	"H_TT21"	"H_TT23"	"H_TT24"	"H_TT28"	"H_TT41"	"H_TT51"	"H_TT52"	"H_TT54"	"H_TT55"	"H_TT56"	"H_TT60"	"H_TT62"	"H_TT65"	"H_TT69"	"H_TT71"	"H_TT74"	"H_TT81"	"H_BP1"	"H_BP4"	"H_BP5"	"H_BP7"
"Campylobacter ureolyticus"	0	15	154	0	113	51	39496	22	42	2675	60	2077	4128	69	260	23041	11880	29	95339	1779	75998	54611	13066	297	121	4236	150	221	224	980
"Fusarium musae"	80	96	33	31	0	43	459	322	1064	21	70	407	0	60	0	13	24	20	3635	46	1652	804	18142	85	1037	70	0	484	48	274
"Zymoseptoria tritici"	179	221	70	182	0	36	3975	1152	2924	167	272	432	281	178	27	117	35	20	5762	518	1758	1478	48366	416	1160	150	55	564	23	413
"Fulvia fulva"	61	87	41	0	0	17	1463	569	1307	55	96	379	323	89	0	76	49	17	5111	1909	2329	825	17699	45	279	61	48	590	70	208
"Ascochyta rabiei"	1825	463	119	104	78	342	4121	2805	1139	2407	1886	1305	1031	623	30	92	74	40	20159	129	9075	5502	46730	1356	82032	925	330	1190	396	4063
"Malassezia restricta"	1500	2135	360	2468	338	1255	13163	17515	3671	3371	1585	17181	51567	757	481	865	684	380	18302	6727	71420	24763	21103	5710	5944	3928	11207	25234	12150	45583
"Herbaspirillum huttiense"	0	14	0	0	628	0	350	1067	1120	774	820	1257	38	774	646	757	579	215	1416	961	438	6113	655	72	52	491	139	205	1670	3529
"Mobiluncus sp. Marseille-Q7826"	0	0	468	0	0	0	29464	0	0	0	15	1562	5	36	41	4551	236	0	39	328	7866	0	544	0	15	0	30	421	0	296
"Varibaculum prostatecancerukia"	12	0	384	0	38	0	20383	13	22	528	88	3353	1589	114	27	19902	19506	6	5601	27	25585	228	6674	125	0	24	221	152	15	2771
"Anaerococcus obesiensis"	72	210	3506	0	118	0	169747	215	154	9618	2111	17180	0	0	0	187823	125626	0	731	117	37086	1648	11603	4927	0	0	659	0	0	116222
"Ureaplasma parvum"	0	296	15171	37978	1167	0	0	0	28950	7042	0	0	0	36521	41389	44005	33441	0	2489	1484	0	76	0	0	0	0	0	0	0	0
"Prevotella sp. oral taxon 299"	0	17	302	0	14	0	2268	11	19	308	22	2526	14	8	0	217	8111	0	128	254	5712	36	4687	0	0	25	377	12	0	148
"Gardnerella piotii"	354	0	390	0	0	0	47118	0	0	60	1570	1337	29	0	34	161	272	0	0	512	0	61	0	0	9	0	13850	0	0	0
"Bifidobacterium animalis"	1167	246	1887	400	0	0	118249	266	0	258	4316	5420	985	0	0	5695	280	273	490	0	481	203	0	489	67	187	225	83	0	473
"Corynebacterium glutamicum"	1508	161	0	0	0	0	97831	105336	550	0	0	5385	0	0	0	20225	16021	19	9649	0	26380	3712	5154	33716	3415	0	0	0	1930	54702
"Streptomyces rimosus"	0	0	0	0	0	0	102671	3648	0	1444	2833	0	0	0	0	5069	0	0	2808	0	0	2272	0	0	0	0	0	0	0	0
"Lactobacillus sp. JM1"	1644	0	12435	1291	1071	0	51630	14210	4526	3968	0	6906	0	0	0	3650	3981	673	943	0	2094	2571	579	1139	23422	0	0	0	0	1560
"Lactobacillus paragasseri"	1258	54	2719	0	0	0	133809	5026	608	2370	0	4372	0	0	0	2135	3888	0	0	100	13553	0	71	410	3181	0	0	0	140	911
"Streptococcus anginosus"	22	90	39	39	0	13	481	333	28	16122	501	35728	43188	17	1328	159	42936	43	44672	2878	8391	30	76	83	21	27	245	0	0	138
"Dialister succinatiphilus"	0	0	2446	0	69	0	25487	0	54	7792	314	24358	15642	274	25	54793	37917	26	79207	2276	29715	974	12138	94	0	0	469	0	0	5579
"Dialister pneumosintes"	0	0	2009	0	71	15	13753	0	22	9508	397	16017	9439	217	0	27617	25697	26	48550	2085	18216	250	10679	69	0	0	555	21	55	2190
"Megasphaera hexanoica"	0	0	189	8	0	24	2243	28	0	3693	30	2220	3959	179	15	12660	5724	12	6072	459	3460	3064	4143	216	0	194	593	0	0	1742
"Burkholderia thailandensis"	0	1661	845	0	0	479	5661	3474	0	0	0	4044	0	0	0	0	4063	1676	4855	0	3406	3673	3584	14693	0	0	0	0	0	1561
"Fusobacterium polymorphum"	0	0	416	0	0	175	4667	260	170	2210	0	193	1546	0	0	43	2635	57	2085	5633	9376	264	0	204	0	0	0	0	0	215
"Fusobacterium vincentii"	0	194	17	0	0	12	477	165	839	864	0	119	2086	0	0	0	982	7	210	1086	6326	8	0	21	0	0	0	0	0	8
"Fannyhessea vaginae"	0	0	14033	0	0	0	9451	38	0	103	0	86322	0	21	0	360452	1656	8	2704	140	281	88	367	0	10	0	8143	0	0	93
"Veillonella atypica"	83	0	0	5	0	0	31	55	0	5621	1203	7065	31035	418	29	14746	2656	2774	1277	22393	1588	64246	55	463	0	835	1205	0	58	3444
"Veillonella rodentium"	0	0	17	0	0	0	46	0	0	3094	0	42	34177	218	24	12195	2118	9	1372	333	618	6552	640	225	0	617	1393	0	0	2660
"Dialister massiliensis"	0	0	0	0	0	0	27597	33	35	14244	0	25499	16680	0	0	13450	42743	0	7729	2462	35056	1359	6266	0	0	0	979	0	0	0
"Campylobacter jejuni"	0	0	0	0	0	0	27946	91	0	2092	0	2602	0	0	0	16164	8237	0	56355	1048	40248	31728	11755	0	0	3374	0	0	0	755
"Actinotignum schaalii"	0	0	0	0	0	0	85448	0	0	65	0	14504	0	0	0	1549	705	0	13042	5	14667	118	0	16	0	12	21	0	0	242
