"D_AM2"	"D_AM4"	"D_AM7"	"D_AM9"	"D_AM10"	"D_AM11"	"D_AM12"	"D_AM13"	"D_AM16"	"D_AM18"	"D_AM19"	"D_AM21"	"D_AM22"	"D_AM24"	"D_AM25"	"D_AM26"	"D_AM27"	"D_AM28"	"D_AM29"	"D_AM36"	"D_AM37"	"D_AM39"	"D_AM40"	"D_AM41"	"D_AM42"	"D_AM43"	"D_AM44"	"D_AM45"	"D_AM47"	"D_AM48"	"H_TT1"	"H_TT2"	"H_TT3"	"H_TT4"	"H_TT5"	"H_TT7"	"H_TT11"	"H_TT12"	"H_TT16"	"H_TT20"	"H_TT21"	"H_TT23"	"H_TT24"	"H_TT28"	"H_TT41"	"H_TT51"	"H_TT52"	"H_TT54"	"H_TT55"	"H_TT56"	"H_TT60"	"H_TT62"	"H_TT65"	"H_TT69"	"H_TT71"	"H_TT74"	"D_TT76"	"H_TT81"	"D_TT88"	"H_BP1"	"H_BP3"	"H_BP4"	"H_BP5"	"H_BP7"
"Lactobacillus acetotolerans"	1.96256963405213e-05	3.65735816607815e-05	5.00753944140616e-05	3.71234875690497e-05	2.62498587555677e-05	7.40121536179813e-05	0.000104732769677286	6.2430869591337e-05	5.082091055023e-05	1.95145749481644e-05	3.88878699799833e-05	6.44896523421469e-05	2.02657971889088e-05	4.6200639108841e-05	3.77741701981123e-05	4.81628238491833e-05	4.79378571969584e-05	3.02703612976382e-05	6.47905960192761e-05	5.36747224597515e-05	2.35524839627211e-05	0.000101923419427321	7.71917488898909e-05	2.1792506283506e-05	8.19155556318926e-05	5.44468221642875e-05	5.88226231808754e-05	0.000155650819902028	1.8765999248965e-05	2.76947789187343e-05	3.39837296359036e-05	0.00213408610000751	3.23626296268533e-05	0	7.57882570832416e-05	9.53459062801748e-05	8.26560817164126e-05	0.00025514947488486	1.61301729774934e-05	0	2.08381169262126e-05	4.46568788711932e-06	5.13523818895217e-05	9.85366081975068e-06	1.72373348682056e-05	1.17689211560742e-05	2.53132578313205e-05	2.24932142397533e-05	6.55319421272473e-05	3.74582769669771e-05	0.000596454311030173	0.000126253435619689	3.78787410918053e-05	4.4834458949977e-05	4.79023376882061e-05	3.80907646837853e-05	1.34162722019575e-05	1.99502440912365e-05	1.83147108336093e-05	5.25477198981325e-05	1.07831793185809e-05	0.00012952995020293	0	5.39783138969342e-05
"Lactobacillus panisapium"	1.24890794894226e-05	1.39012708574916e-05	1.9973893277519e-05	1.78594075332185e-05	2.05152742274283e-05	3.08383973408256e-05	4.66088242019336e-05	2.35588187137121e-05	2.17803902358128e-05	1.38228239216165e-05	1.15612586426977e-05	5.8626956674679e-06	2.18920648645619e-05	6.16008521451213e-05	2.19617268593676e-05	1.72757955111201e-05	1.24638428712092e-05	2.52253010813652e-05	4.90446742775397e-05	2.81792292913695e-05	1.33464075788753e-05	6.60497521340612e-05	1.98711432785858e-05	9.24530569603284e-06	2.11394982275852e-05	2.40317008173407e-05	1.82070024131281e-05	3.98949674311993e-05	5.53103135758967e-06	0	0.000520212476734216	0.000110855591806519	1.92239552056949e-05	0	3.11837099457088e-05	1.82024002898516e-05	2.7966343437884e-05	4.57188436757206e-05	3.14848568695305e-05	2.31980500381939e-05	1.29746765766984e-05	0	1.5682463930333e-05	6.15853801234417e-06	2.02351322365892e-05	1.17689211560742e-05	2.88220262435827e-05	1.25372013795346e-05	2.72091689534185e-05	1.2167975320483e-05	2.44114997693113e-05	2.47449509011407e-05	2.67621540322537e-05	2.03792995227168e-05	3.92420280496604e-05	1.8461168159626e-05	7.1027323422128e-06	1.19701464547419e-05	2.7472066250414e-05	3.75340856415232e-05	1.37785069070757e-05	2.01491033649003e-05	1.34110728523005e-05	1.80862402407909e-05
"Lactobacillus gasseri"	6.54189878017377e-05	0.000508389334216836	0.000789109445682263	0.000392104295729314	9.94263880864733e-05	9.62157997033757e-05	0.000112683686747028	0.000101302920468962	0.000215129117592327	8.1310728950685e-05	0.00343579586390717	5.39368001407047e-05	0.000157372671997822	7.95677673541151e-05	0.000244214402676168	0.00523299551300475	0.00145443458735572	0.000113426871069311	0.000298914383228373	7.61510124897725e-05	4.55348023279275e-05	0.000489781069339156	0.00134512354501196	9.9056846743209e-05	0.000110982365694822	3.15416073227596e-05	5.88226231808754e-05	9.61106033569802e-05	2.7852693622148e-05	0.000196940650088777	0.278582930756844	0.000270877261987478	0.0142402485449955	0.0403118046558646	6.71041859591201e-05	0.000110081182705293	0.000107515053661198	0.597959713102484	0.000386503760191478	0.00050372908654364	0.00271760498479211	0.000254544209565801	0.0211808587840248	0.000685445280773907	0.000425687226310468	9.93820008735155e-05	0.363355776084435	0.000245581650552061	0.000137961983425784	0.000101161206585976	0.000174135365021087	0.00040061533648708	0.000225007956594257	0.000149642285066806	0.000204329180534439	0.000151311473207061	0	7.18208787284512e-05	8.08899728484412e-05	0.000622127469508247	0.15088453521352	0.00565901960219913	0.400303760800105	6.96810961214969e-05
"Lactobacillus amylolyticus"	1.01102072057231e-05	1.77075712113286e-05	4.55742353656066e-05	3.17054650589722e-05	2.77844658828163e-05	4.44072921707888e-05	5.78497759212234e-05	3.18044052635113e-05	6.91622918014408e-05	1.17900556978493e-05	5.46532226745711e-05	1.99331652693909e-05	2.63955753509861e-05	0.000107801491253962	1.40555051899953e-05	5.33979133980076e-05	4.31440714772626e-05	2.20938843954026e-05	0.000146875892968	7.34672763667849e-05	3.14033119502948e-05	0.00010888713131366	4.05065612986556e-05	1.65094744572015e-05	6.60609319612037e-05	6.98421305003963e-05	8.54328574769856e-05	8.43234538886713e-05	1.97536834199631e-05	0	1.56847982934939e-05	0.000267166614562992	1.52132019613413e-05	2.17862392303357e-05	6.078849786885e-05	5.54739818357381e-05	7.70628130288358e-05	3.98602613124845e-05	3.27256394062607e-05	6.13091322437982e-05	2.63425251708726e-05	0	4.76623903765021e-05	1.17012222234539e-05	5.47098019730003e-05	2.74608160308398e-05	1.42856999642106e-05	2.93149267550884e-05	7.95197543356948e-05	2.55288893978761e-05	6.99796326720258e-05	5.68953250646665e-05	4.19959955583059e-05	3.9302934793811e-05	0.000112584025301095	9.58111258917299e-06	2.13081970266384e-05	3.19203905459783e-05	7.17326174316365e-05	9.94653269500365e-05	7.78785173008624e-06	5.4690423419015e-05	0	3.60322770688626e-05
"Lactobacillus intestinalis"	7.73133492202354e-06	2.25068194835579e-05	5.85150676299147e-05	2.4882770046282e-05	1.09845562792529e-05	3.37166477593026e-05	4.57863155395465e-05	1.88470549709696e-05	5.38778074254318e-05	7.31796560556165e-06	6.463794604781e-05	6.21445740751598e-05	5.12899805398308e-06	0.000179669152089937	1.31770361156206e-05	6.59621283151859e-05	4.60203429090801e-05	1.96583380840984e-05	0.000106091374358257	5.53520575366187e-05	2.7477897956508e-05	0.00061554992643788	4.20351107816238e-05	1.91509903703537e-05	4.75638710120667e-05	5.0691868911578e-05	6.02231618280391e-05	6.98161930045988e-05	1.77783150779668e-05	4.92351625221943e-05	2.09130643913253e-05	0.00010482578974173	5.11716793245117e-06	0	4.7367660677026e-05	5.37404199033713e-05	0.000100057362077763	5.51911310480555e-05	6.09534421168743e-05	5.96521286696415e-05	4.32489219223281e-06	0	2.73674370548948e-05	3.3871959067893e-05	0	1.04612632498437e-05	2.75688946677748e-05	0	5.94002984194347e-05	3.07778199282805e-05	5.69601661283931e-05	0.000143592963258444	7.63750703535857e-05	2.79487536311545e-05	9.06626165285257e-05	5.49161331330647e-06	9.47030978961707e-06	3.99004881824729e-05	4.27343252784218e-05	5.06710156160563e-05	2.27644896725598e-05	3.74197633919576e-05	2.6822145704601e-05	4.09393965140384e-05
"Lactobacillus apis"	4.7577445673991e-06	8.93653126553033e-06	2.1943150361218e-05	1.0836045020155e-05	3.39228943918106e-06	2.42595392414494e-05	2.35785816550958e-05	1.06014684211704e-05	4.96745742220293e-06	4.47209009228768e-06	2.31225172853955e-05	1.28979304684294e-05	4.37841297291239e-06	1.28335108635669e-05	7.02775259499765e-06	3.14105372929457e-05	1.53401143030267e-05	1.02640880262107e-05	1.83272203879227e-05	1.97925539070334e-05	1.80569043714195e-05	0.000113107562759926	2.2163967503038e-05	7.26416876116866e-06	1.45334050314648e-05	9.3873831317737e-06	3.36129275319288e-05	1.05782110613028e-05	6.51871552858783e-06	2.154038360346e-05	9.1494656712048e-06	2.5974531971402e-05	3.04264039226826e-06	0	2.48680218554386e-05	1.56020573913013e-05	2.05086518544482e-05	1.44548200363955e-05	1.07017493792985e-05	0	2.75220412232997e-06	0	1.27612206491925e-05	0	5.24614539467126e-06	0	7.26816313968608e-06	5.71548886419962e-06	1.57123370012698e-05	1.47924405856852e-05	1.8715483156472e-05	1.48108465247703e-05	2.1615585949128e-05	1.39743768155772e-05	2.78753716490691e-05	3.03791374778656e-06	3.94596241234045e-06	1.59601952729892e-05	0	2.20512753143949e-05	1.49766379424735e-06	0	1.00583046392254e-05	2.11707153206158e-05
"Lactobacillus kefiranofaciens"	1.42732337021973e-05	0.000122132593962248	0.00369910877050841	0.00129109469740144	0.000689361675319293	0.000292348006791026	0.000574385215900299	0.00016608967193167	0.00143215618603204	8.33434971744522e-05	0.000267485484051506	2.93134783373395e-05	9.11960873500894e-05	0.000138601917326523	0.000137919644676829	0.00041828365495106	0.000391172914727181	0.000245816209848062	0.00351753566515807	0.000449525800600419	0.000155446394153959	0.000481762249591251	0.000517413999984714	0.00195472177573266	0.000221964731389645	0.000218913774632963	0.00168064637659644	0.000755888738980526	0.000161980204043698	0.00138166174827908	2.87554635380722e-05	0.00139984174088735	3.45754590030484e-05	0.000326793588455036	0.000949326866068729	0.000559940504154481	0.000771249604586977	0.000100909974723776	0.000172468772605507	0	3.49923095553382e-05	0	0.000722623337966323	0	0.000227083150655056	0.0011716614839825	6.56640945723363e-05	7.74356555794787e-05	0.000941015695283367	0.000137426544796043	0.00204975226396317	0.00175653027382185	0.00042531238638951	9.98585676613123e-05	0.00147874787078168	3.8324450356692e-05	6.78705534922556e-05	0.000107731318092677	0.000112940716807258	0.00555457549887492	1.22808431128283e-05	0.000164071270257045	0	0.000302138354410112
"Limosilactobacillus portuensis"	0.0010538404216789	0.0281970730212244	0.00141448923097698	0.000550631621024175	0.00168976398469302	0.00319485796450953	0	0.00107428213334527	0.00155748895791532	0.000859454405008741	0.00256870146570484	0	0	0	0.00175254580337754	0.00126584465290571	0.00599319090676374	0.000987787996827527	0	0.00223286845432566	0.00174131364764385	0.00339343790437009	0.00276514601468936	0	0	0.00216210208291012	0.00088233934771313	0	0.000195561465857635	0	0	0	0	0.000370366066915708	0	0	0	0	0.0015657124635365	0	0	0	0.00292708576770273	0	0	0	0	0	4.59873278085946e-06	0.000763957979925227	0	1.8062007957037e-06	0	0.000798577408440174	0.00560755049095837	0	0	0	0	0	0	0	0	8.83281500131651e-06
"Limosilactobacillus vaginalis"	0.000165331623717119	0.00425130651259645	7.34251569779218e-05	4.13375050768878e-05	0.000138356947840884	0.000418168667941595	3.56420420367727e-06	7.30323380125074e-05	0.000107373502741463	6.5048583160548e-05	0.000137158568442914	0	3.62782789184169e-06	0	0.000427814439220482	8.42849417360709e-05	0.00104121025831794	0.000117254158129932	6.45324661546575e-06	0.000509574396352266	0.000171148050129107	0.000291209769792346	8.55987710462157e-05	0	0	7.84785229816281e-05	7.56290869468398e-05	0	2.84453041247469e-05	0	0	1.02042804173365e-05	2.90433855625607e-06	0.000142336762971527	0	1.82024002898516e-05	1.98871775558286e-05	5.63956993844218e-06	8.22018430583801e-05	0	0	0	7.77973210661615e-05	0	5.99559473676716e-06	4.83833425305273e-05	9.27317366097879e-06	2.76555912783852e-06	3.10414462708014e-05	2.79147669116963e-05	0	4.87674214839999e-06	2.47035267990035e-06	8.73398550973577e-05	0.000194586332191075	1.32032405192262e-05	0	0	0	1.03218735514189e-05	0	0	0	1.03750525412289e-05
"Limosilactobacillus reuteri"	9.27760190642825e-05	0.00452089187243995	0.000239405396889699	0.000168560700313523	0.000126483934803751	0.000331821155387283	0.000153260780758123	0.000585436645035745	0.000138324583602882	0.000113835020530959	0.000196541396925861	6.21445740751598e-05	8.8569039566342e-05	5.13340434542678e-05	0.00679935063566022	0.000183751643163732	0.00132308485863605	0.000304443288913028	0.000251934747867783	0.00142976041952163	0.00135269766225895	0.000355149306203275	0.000542635066453689	2.11321273052179e-05	0.000118909677530167	0.000135553812422812	0.000252096956489466	0.00027019773396585	4.66186928711129e-05	0.000113856313332574	3.65978626848192e-05	0.00022866864753395	7.35765767584871e-05	2.61434870764029e-05	0.000104998314500741	3.81383625120699e-05	0.000132995499904604	0.000144602953470153	0.000105311417804981	7.95361715595221e-05	0.000417548682559204	1.48856262903977e-05	0.000158515885413464	5.72744035148008e-05	4.64658592099455e-05	0.000545293346898105	0.00205814330010697	3.90865690067845e-05	0.000334749423673395	0.000128598797994909	0.000440220712506581	0.000121557313550859	8.29626774999866e-05	0.000174097444494066	0.000335045729141238	0.000263831124711617	0.000196508928134554	0.000205487514139735	0.00037392534618619	0.000187670428207616	2.69579482964524e-05	0.000682191071068766	0.00101421238445523	0.00117883029414396
