"D_AM2"	"D_AM4"	"D_AM7"	"D_AM9"	"D_AM10"	"D_AM11"	"D_AM12"	"D_AM13"	"D_AM16"	"D_AM18"	"D_AM19"	"D_AM21"	"D_AM22"	"D_AM24"	"D_AM25"	"D_AM26"	"D_AM27"	"D_AM28"	"D_AM29"	"D_AM36"	"D_AM37"	"D_AM39"	"D_AM40"	"D_AM41"	"D_AM42"	"D_AM43"	"D_AM44"	"D_AM45"	"D_AM47"	"D_AM48"	"H_TT1"	"H_TT2"	"H_TT3"	"H_TT4"	"H_TT5"	"H_TT7"	"H_TT11"	"H_TT12"	"H_TT16"	"H_TT20"	"H_TT21"	"H_TT23"	"H_TT24"	"H_TT28"	"H_TT41"	"H_TT51"	"H_TT52"	"H_TT54"	"H_TT55"	"H_TT56"	"H_TT60"	"H_TT62"	"H_TT65"	"H_TT69"	"H_TT71"	"H_TT74"	"D_TT76"	"H_TT81"	"D_TT88"	"H_BP1"	"H_BP3"	"H_BP4"	"H_BP5"	"H_BP7"
"Halomarina sp. BCD28"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pahexavirus PAD20"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pahexavirus PHL111M01"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pradovirus prado"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nocardioides sp. dk884"	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aeromicrobium sp. zg-629"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
"Micrococcus sp. A1"	0	0	24	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter sp. CDRTa11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Citricoccus sp. NR2"	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	8	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0
"Microbacterium sp. zg-Y818"	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microbacterium sp. nov. GSS16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
"Microbacterium sp. XT11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microbacterium sp. BDGP8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	38
"Microbacterium sp. M28"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microbacterium esteraromaticum"	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
"Microbacterium arborescens"	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microbacterium luteum"	0	0	0	31	0	0	0	0	0	0	22	0	0	0	0	0	0	15	0	0	37	0	0	0	0	0	0	0	0	0	0	15	0	8	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	21	0	0	0
"Microbacterium oryzae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0
"Microbacterium chocolatum"	0	0	0	53	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	13	0	17	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	50	0	0	0	0	0	0	0	0	0	0	22	0	0	0
"Clavibacter californiensis"	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0
"Agromyces badenianii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0
"Microcella sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0
"Mycetocola sp. JXN-3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Brachybacterium faecium"	0	0	0	0	20	0	0	0	0	0	0	11	0	0	0	0	10	33	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	22	0	0	0	0	109	0	0	0	0	0	0	0	0	29	39	13	0	0	0	0	0	0	0	0	0
"Brachybacterium ginsengisoli"	0	0	0	0	69	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	8	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	45	51	0	0	0	40	0	184	0	0	18	0	0	37	272	0	0	0
"Brachybacterium avium"	0	0	0	0	68	0	0	0	8	0	0	0	0	0	0	0	9	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	31	29	0	0	0	0	0	0	0	0	0	0
"Cellulomonas sp. C5510"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0
"Ruania alkalisoli"	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	15	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	5	0	0	0	0	24	0	5	0	0	0	0	0	0	0	0	0
"Ruania halotolerans"	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mycolicibacterium pulveris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mycolicibacterium aichiense"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mycobacterium sp. Aquia_213"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
"Rhodococcus sp. Z13"	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhodococcus pseudokoreensis"	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nocardia farcinica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
"Nocardia sputorum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0
"Gordonia sp. PDNC005"	0	0	0	0	12	10	0	0	0	50	0	0	0	0	0	0	0	18	28	74	25	0	16	0	8	15	0	0	14	0	21	8	0	13	0	0	7	0	122	0	0	9	0	0	0	0	0	0	17	49	0	137	0	188	14	0	0	14	0	0	27	63	15	85
"Gordonia sp. SMJS1"	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
"Dietzia lutea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Schaalia radingae"	0	0	248	74	7	68	0	0	0	0	0	10	0	104	0	0	0	56	0	11	0	0	0	147	0	0	0	0	0	0	0	0	0	6	86	0	0	23065	22	41	9	0	20	71	0	0	625	1130	0	8	0	1677	13	0	16	7	0	0	0	0	4641	26	0	125
"Schaalia meyeri"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	81	9	0	0	0	0	0	0	0	0	0	0	0	0	98	39	61	69	0	52	20	0	0	0	297	22	43	0	770	0	22	0	0	0	0	0	0	41	0	0	195
"Fannyhessea vaginae"	0	0	0	159	32	24366	0	0	11	6	490	0	319	0	0	688	0	326	0	21	0	0	0	362	0	0	0	0	0	0	0	0	14033	23	0	0	0	9451	38	103	0	0	86322	0	21	0	360452	1656	8	2704	140	281	88	367	0	10	92941	0	8	8143	4182	0	0	93
"Streptomyces sp. LX-29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Streptomyces sp. P3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Streptomyces katrae"	0	0	0	21	0	0	0	0	0	0	0	0	0	17	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Streptomyces tubbatahanensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	15	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
"Streptomyces aquilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
"Streptomyces coralus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Micromonospora sp. WMMC415"	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Actinoplanes sp. OR16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0
"Pseudonocardia petroleophila"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	28	191	0	0	0	0	39	0	0	0	0	0	0	0	542	0	0	0	0	0	0	0	0	0	0	0	0
"Amycolatopsis sp. WQ 127309"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
"Amycolatopsis sp. 4-36"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amycolatopsis pretoriensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Saccharomonospora azurea"	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0	0	0	0	0
"Nocardiopsis akebiae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Thermophilibacter immobilis"	0	0	0	201	0	54	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	41	0	80	0	0	215	0	0	0	92	602	0	497	0	0	0	185	0	0	0	0	0	0	348	0	0	27
"Streptococcus koreensis"	0	0	0	0	7	0	0	0	0	0	0	0	0	54	0	0	0	0	0	18	0	0	61	0	0	0	0	0	0	0	0	0	0	15	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	132	0	0	0
"Aerococcus viridans"	0	0	0	0	59	0	0	16	19	0	12	842	0	0	0	19	0	164	0	52	0	0	56	0	0	0	27	0	0	0	57	157	0	25	14	0	0	789	0	0	0	120	0	0	0	0	0	0	0	0	53	0	87	0	0	0	0	0	0	195	0	139	0	0
"Enterococcus mundtii"	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	14	12	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Staphylococcus shinii"	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
"Staphylococcus gallinarum"	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	9	0	0	0
"Staphylococcus agnetis"	0	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	5	6	0	7	0	0	6	0	0	0	0	9	0	0	0	0	10	20	0	0	0	38	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	14	11	0	0	0	0	25	0	0	0
"Fervidibacillus halotolerans"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	100	0	0	15	0	0	0	0	28	0	0	0	83	114	84	8	0	0	7	0	0	0	0	0	240
"Oceanobacillus oncorhynchi"	0	0	0	0	38	0	0	0	0	0	0	0	45	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	23	21	0	0	0	28	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Exiguobacterium alkaliphilum"	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Veillonella atypica"	0	0	402	1388	18	24	0	0	23	0	70	22	0	0	0	20	0	33	0	30	7	0	23	1189	305	42	20	0	0	0	83	0	0	23	5	0	0	31	55	5621	0	1203	7065	31035	418	29	14746	2656	2774	1277	22393	1588	64246	55	463	0	0	835	0	1205	0	0	58	3444
"Megasphaera stantonii"	0	0	60	142	0	780	0	0	0	0	12	0	0	0	0	21	0	599	0	16	0	0	0	0	127	0	0	0	0	0	0	0	123	0	0	0	0	849	0	1088	15	8	293	183	147	0	6207	882	0	3721	114	532	2039	1564	66	0	10	200	0	37	210	0	0	1953
"Acutalibacter muris"	0	0	0	328	0	3288	0	0	34	27	21	0	16	0	0	29	0	97	0	105	12	0	0	141	0	0	0	0	0	0	0	0	132	22	0	0	0	471	6	786	0	20	682	531	9	0	934	2556	5	1332	186	939	0	760	0	0	73	0	0	34	566	0	0	0
"Acetivibrio clariflavus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
"Vescimonas coprocola"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	71	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pseudoclostridium thermosuccinogenes"	0	0	0	1104	0	2095	0	0	0	0	16	0	0	0	0	22	0	25	0	21	8	0	0	24	0	0	0	0	0	0	0	0	35	27	0	0	0	2639	0	0	0	0	888	0	0	0	5	651	0	0	0	0	52	104	0	0	0	0	0	0	0	0	0	68
"Caproicibacter fermentans"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lawsonibacter asaccharolyticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	225	0	0	20	0	0	44	0	0	0	0	0	0	0	50	0	0	0
"Lachnospira eligens"	0	0	828	8	14	0	0	0	55	13	2008	0	0	779	0	3019	0	0	347	0	0	2515	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	189	5	0	0	812	0	11	0	34	0	0	84	0	169	310	51	5	0	0	6	0	0	14	0	0	5
"Butyrivibrio crossotus"	0	0	0	0	0	146	0	0	109	0	15	0	0	0	0	16	0	28	0	31	10	0	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	617	0	9	0	39	528	0	0	0	138	211	0	77	228	91	0	76	0	0	14	0	0	0	692	0	0	0
"Clostridium sp. MD294"	0	0	0	0	0	17	0	0	26	0	0	0	0	9	0	0	0	22	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910	0	0	0	0	220	0	0	0	21	86	0	43	21	0	22	16	0	0	0	0	0	0	193	0	0	0
"Clostridium gelidum"	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	7	0	0	0	0	0	0	0	0
"Filifactor alocis"	0	0	10	20	0	19	13	0	0	0	0	26	0	0	0	0	0	20	0	60	0	0	0	0	0	0	0	0	0	0	7	109	0	24	0	0	24	396	12	0	0	11	15	0	0	0	33	229	0	18	14	999	36	38	12	15	12	23	0	28	475	0	0	244
"Flintibacter sp. KGMB00164"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	34	0	0	0	0	0	0	0	0	0	0	0	0
"Oscillatoria acuminata"	0	0	5	0	0	0	0	0	152	0	0	0	11	0	0	0	0	0	17	0	12	0	0	128	0	112	0	14	0	0	0	0	0	16	0	0	0	90	29	57	0	0	11	116	0	0	7	113	0	9	0	54	53	12	0	0	0	0	0	0	8	0	0	49
"Mycoplasma iguanae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Enterobacter sp. RHBSTW-00593"	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Enterobacter sp. SA187"	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Enterobacter sp. Colony194"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leclercia sp. 29361"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Superficieibacter sp. HKU1"	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	30	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mixta calida"	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	28	0	0	0	0	0	0	0	0	0	0	0	0
"Serratia sp. JUb9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Serratia sp. ATCC 39006"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acinetobacter sp. Tol 5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	582
"Acinetobacter sp. LoGeW2-3"	0	0	0	15	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	27	0	0	0	0	0	0	0	0	0	0	0
"Acinetobacter wuhouensis"	0	0	0	10	16	8	7	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	10	0	0	0	0	0
"Acinetobacter equi"	0	0	0	0	59	0	0	0	0	6	0	15	0	0	0	0	7	0	0	0	0	0	12	99	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	11	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
