"D_AM2"	"D_AM4"	"D_AM7"	"D_AM9"	"D_AM10"	"D_AM11"	"D_AM12"	"D_AM13"	"D_AM16"	"D_AM18"	"D_AM19"	"D_AM21"	"D_AM22"	"D_AM24"	"D_AM25"	"D_AM26"	"D_AM27"	"D_AM28"	"D_AM29"	"D_AM36"	"D_AM37"	"D_AM39"	"D_AM40"	"D_AM41"	"D_AM42"	"D_AM43"	"D_AM44"	"D_AM45"	"D_AM47"	"D_AM48"	"H_TT1"	"H_TT2"	"H_TT3"	"H_TT4"	"H_TT5"	"H_TT7"	"H_TT11"	"H_TT12"	"H_TT16"	"H_TT20"	"H_TT21"	"H_TT23"	"H_TT24"	"H_TT28"	"H_TT41"	"H_TT51"	"H_TT52"	"H_TT54"	"H_TT55"	"H_TT56"	"H_TT60"	"H_TT62"	"H_TT65"	"H_TT69"	"H_TT71"	"H_TT74"	"D_TT76"	"H_TT81"	"D_TT88"	"H_BP1"	"H_BP3"	"H_BP4"	"H_BP5"	"H_BP7"
"Companilactobacillus heilongjiangensis"	12	0	6	15	108	0	0	12	0	6	22	0	43	0	11	30	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	25	0	0	0	11	0	0	0	0	56	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0
"Companilactobacillus ginsenosidimutans"	10	0	0	0	23	0	0	0	0	0	0	0	8	0	0	0	0	6	5	0	0	31	0	0	0	0	0	0	0	0	6	0	13	0	0	0	0	46	0	0	0	0	30	0	0	0	0	19	17	9	0	0	0	0	53	0	0	0	0	26	7	0	0	8
"Companilactobacillus farciminis"	8	0	0	8	35	0	0	0	0	0	0	0	119	0	0	0	0	12	0	0	0	41	52	0	0	0	0	0	0	0	0	0	16	0	0	0	0	33	64	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
"Latilactobacillus sakei"	33	153	93	83	271	61	66	25	82	58	48	0	130	0	27	61	70	138	143	147	49	196	188	163	17	76	33	138	31	51	24	80	125	50	51	24	126	568	225	63	7	12	229	18	25	12	55	103	159	208	39	86	59	154	175	184	16	57	25	66	69	18	28	162
"Amylolactobacillus amylophilus"	35	53	68	76	181	88	135	18	32	22	47	10	128	0	17	37	29	84	87	110	16	93	26	16	8	55	13	74	34	0	41	45	79	0	63	26	55	1896	81	16	0	0	114	9	24	12	321	88	83	67	24	100	94	53	43	81	0	7	7	34	64	0	78	138
"Acetilactobacillus jinshanensis"	27	646	53	47	121	56	61	23	54	41	31	8	184	0	231	31	48	124	48	45	5	62	26	0	7	69	11	66	10	0	233	57	143	6	39	14	44	179	79	45	9	0	121	0	21	17	70	52	350	46	26	48	65	36	47	137	7	11	11	20	13	0	0	112
"Loigolactobacillus coryniformis"	28	101	18	0	24	0	80	40	0	49	0	0	0	0	43	0	41	186	33	81	0	37	0	0	0	43	15	107	36	0	0	26	0	0	35	0	12	182	0	0	0	0	54	0	0	0	0	0	86	34	84	21	158	27	0	0	0	0	0	0	0	0	27	257
"Bombilactobacillus folatiphilus"	19	43	49	118	2407	10	22	0	0	0	0	0	70	0	12	0	0	33	29	40	0	37	0	0	0	23	0	0	0	0	0	14	33	0	54	31	0	278	233	0	0	0	15	0	0	0	0	25	66	29	28	79	128	41	31	47	51	0	0	9	0	0	0	29
"Schleiferilactobacillus harbinensis"	21	50	35	78	724	23	70	8	22	28	32	17	117	8	8	28	31	95	56	44	21	81	9	12	10	34	12	37	25	0	10	26	76	0	47	26	24	603	68	10	7	6	124	0	11	8	184	79	127	49	10	62	58	87	65	37	5	11	0	18	292	0	9	109
"Furfurilactobacillus rossiae"	24	4924	8	11	19	147	0	67	11	6	0	0	22	0	2630	0	322	419	24	68	0	45	0	0	0	0	0	91	0	0	0	0	13	0	0	0	11	229	35	14	0	0	7	0	0	137	13	18	325	7	162	162	0	0	0	643	79	21	25	0	9	47	23	3726
