name	taxonomy_id	taxonomy_lvl	D_AM2	D_AM3	D_AM4	D_AM5	D_AM6	D_AM7	D_AM8	D_AM9	D_AM10	D_AM11	D_AM12	D_AM13	D_AM14	D_AM15	D_AM16	D_AM17	D_AM18	D_AM19	D_AM20	D_AM21	D_AM22	D_AM23	D_AM24	D_AM25	D_AM26	D_AM27	D_AM28	D_AM29	D_AM32	D_AM34	D_AM36	D_AM37	D_AM38	D_AM39	D_AM40	D_AM41	D_AM42	D_AM43	D_AM44	D_AM45	D_AM46	D_AM47	D_AM48	D_TT76	D_TT88	H_BP1	H_BP3	H_BP4	H_BP5	H_BP6	H_BP7	H_TT1	H_TT2	H_TT3	H_TT4	H_TT5	H_TT7	H_TT8	H_TT9	H_TT10	H_TT11	H_TT12	H_TT15	H_TT16	H_TT17	H_TT18	H_TT20	H_TT21	H_TT23	H_TT24	H_TT28	H_TT29	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT59	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81
Dermacoccus nishinomiyaensis	1274	S	14	129	55	104	330	22	484	290	83	0	36	0	0	17	0	20	20	56	13	0	14	0	0	0	0	0	13	0	16	177	0	14	41	11	61	50	0	16	0	6	14	0	10	12	13	118	63	0	0	91	71	24	31	0	53	17	53	0	16	0	0	0	0	20	87	0	42	0	10	53	59	0	12	0	0	0	0	43	0	0	204	0	19	54	15	0
Corynebacterium kroppenstedtii	161879	S	567	1268	200	501	772	541	767	585	1197	235	198	83	326	767	55	817	295	186	304	215	133	258	57	53	78	55	262	27	75	116	972	173	528	36	762	1496	63	37	129	123	127	44	215	90	463	25	252	169	212	369	722	298	669	74	915	278	148	104	183	16	113	216	125	6395	514	25	57	77	109	188	153	0	371	42	41	226	11	686	110	3224	9554	713	1302	667	253	286
Corynebacterium tuberculostearicum	38304	S	308	2138	269	1277	797	231	1805	993	1263	931	319	143	33	865	1058	659	521	264	4068	620	33	149	324	82	167	838	2895	155	441	648	492	106	2489	167	744	2117	365	180	126	451	122	23	263	83	129	564	2869	370	271	1563	9101	390	1078	268	1068	436	41	13579	1274	341	168	4259	20170	58063	1906	284	535	1614	93	349	355	309	69	129	3459	532	60	432	41994	43	7310	565	1453	5298	108	169
Corynebacterium afermentans	38286	S	133	394	69	564	525	54	403	408	219	186	58	68	21	41	420	78	156	165	871	350	5	34	0	10	86	202	726	22	32	196	239	0	174	37	163	420	522	30	0	45	14	11	79	0	46	34	0	28	57	103	442	36	88	27	649	186	25	5002	217	41	109	26	17	1272	114	0	19	36	0	0	60	0	0	46	0	30	0	223	0	0	29	73	48	71	30	17
Corynebacterium sp. FDAARGOS 1242	2778078	S	70	81	8	0	22	11	49	449	110	93	68	0	0	59	0	33	25	76	57	700	0	35	0	0	39	159	34	11	9	63	24	12	68	15	68	0	65	0	14	0	0	0	0	0	0	0	0	0	0	104	22	0	38	37	238	21	0	1181	0	53	18	353	31	335	32	0	9	159	13	31	0	66	0	0	201	20	0	13	3475	28	0	58	412	1784	6	14
Corynebacterium sp. Z-1	3074378	S	42	0	25	0	0	0	0	0	80	0	0	0	0	0	88	51	24	0	344	0	0	0	0	0	0	54	0	0	0	85	0	0	298	0	0	1046	147	0	0	122	0	0	42	0	0	78	50	0	0	1190	0	0	82	21	182	0	0	0	123	0	0	0	0	1210	171	0	0	0	0	0	114	32	0	0	0	0	0	89	0	0	1185	0	0	258	12	0
Corynebacterium sp. NML98-0116	702967	S	28	0	0	0	0	0	0	11	0	12	0	0	19	12	0	32	0	0	0	0	6	0	0	0	0	0	0	26	0	32	0	0	0	29	35	669	0	0	0	0	0	0	25	56	0	0	18	0	0	154	909	0	0	0	35	0	0	6739	0	0	0	35403	0	0	0	0	0	0	0	482	0	3038	0	0	0	1659	0	0	0	60	2397	0	179	3347	0	0
Corynebacterium sp. P3-F1	3059080	S	8	0	0	47	0	0	190	51	13	7	0	32	0	0	0	0	12	0	14	0	0	16	0	0	25	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	32	0	0	32	205	0	0	0	47	29	0	204	0	13	0	128	605	72	38	0	0	0	0	27	0	225	0	0	0	7	0	0	671	0	147	0	0	0	0	0
Corynebacterium kefirresidentii	1979527	S	172	291	21	101	82	192	144	115	139	82	17	0	0	197	27	64	17	0	255	0	0	35	69	0	6	89	114	11	43	393	120	12	186	54	198	1882	558	18	42	67	0	0	30	0	38	214	379	50	21	358	1001	0	180	0	316	32	0	0	633	0	46	106	15465	3837	313	33	0	888	0	170	109	0	0	56	72	44	16	31	7191	131	207	64	166	1370	6	0
Corynebacterium accolens	38284	S	97	664	45	240	626	91	286	385	102	70	102	29	0	1158	356	440	77	46	1666	108	11	486	34	12	24	32	411	116	55	544	269	275	4041	85	377	1703	698	97	74	838	21	8	213	23	132	381	324	665	127	1752	364	46	145	0	1414	115	225	2411	677	0	0	252	1658	2857	1294	121	94	740	6	76	827	20	208	125	30	0	8	111	380	423	4504	389	353	919	74	46
Corynebacterium matruchotii	43768	S	41	92	35	65	20	17	53	78	61	30	14	24	329	664	141	238	54	26	234	81	5	79	23	19	13	0	77	171	7	32	141	11	1321	17	260	770	79	80	83	92	22	9	85	55	55	22	66	1510	104	702	190	17	62	32	85	17	64	38	77	22	7	101	27	331	478	10	37	62	26	105	90	25	6	30	59	20	10	99	125	16	5499	253	125	147	19	133
Corynebacterium singulare	161899	S	44	78	12	40	64	10	43	47	47	609	228	197	20	68	0	59	485	518	86	684	0	6	14	39	307	212	55	18	6	178	70	0	0	0	15	252	0	0	0	0	11	0	13	0	0	0	18	12	39	14	17	0	64	254	611	469	25	65	0	542	171	33	31	252	32	0	0	11	0	11	35	0	0	0	0	11	0	10	86	0	28	67	37	203	0	0
