H_TT1	H_TT2	H_TT3	H_TT5	H_TT7	H_TT11	H_TT12	H_TT16	H_TT20	H_TT21	H_TT23	H_TT24	H_TT28	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81	H_BP1	H_BP4	H_BP5	H_BP7
Streptococcus salivarius	42	55	6	53	0	34	100	115	106	0	99	111	246	0	29	15	132	25	102	54	145	156	57	40	20	53	39	20	90	278
Streptococcus gwangjuense	35	9	13	0	0	0	0	49	37	35	0	17	0	0	0	0	0	0	34	77	65	358	11	0	0	0	0	38	0	119
Lactococcus cremoris	169	70	89	232	31	37	952	369	207	128	33	319	78	37	40	163	235	128	292	78	667	128	28	123	105	59	75	0	0	105
Lactococcus lactis	42	38	0	25	52	17	78	0	0	0	100	61	282	0	0	0	27	24	64	0	50	231	9	0	19	0	0	12	46	89
Enterococcus faecium	2541	836	1613	3050	238	983	36087	2019	614	164	126	2045	586	371	97	4839	1447	2874	2132	790	5124	1480	2054	1297	2524	304	1099	91	1815	3119
Enterococcus faecalis	268	425	820	1606	126	554	11333	594	438	67	135	926	374	139	66	3637	327	1278	1384	320	1187	2809	841	1082	527	167	1739	73	260	41630
Aerococcus christensenii	0	21	448	0	72	17	197	72	9	91	10029	101	0	18	29	90	7571	50	22	37	393	34	36	43	103	0	6479	0	0	46
Abiotrophia defectiva	0	0	0	17	0	0	33	65	33	0	20	36	0	6	6	0	5	9	39	6	90	48	38	28	19	14	0	144	26	116
Dolosigranulum pigrum	24	44	96	49	0	25	3078	124	15	7	0	96	193	0	0	23	20	20	137	1318	985	132	1971	152	182	48	74	68	64	140
Granulicatella adiacens	37	88	8	96	0	26	265	96	12	0	45	38	47	10	16	0	9	11	66	28	230	84	254	33	0	103	0	5	0	174
Granulicatella elegans	49	24	10	21	0	17	3805	128	41	31	0	76	16	0	53	59	11	173	101	108	1277	88	37	18	280	86	0	46	0	1092
Staphylococcus epidermidis	295	745	390	728	314	182	1077	495	393	310	151	775	669	87	62	866	196	186	803	85	3640	1550	833	541	690	382	474	689	1772	2121
Staphylococcus capitis	135	286	99	422	141	94	189	148	33	73	88	221	307	31	18	31	58	76	223	59	1327	1379	157	60	51	97	104	384	346	446
Staphylococcus hominis	869	326	138	750	69	87	282	578	117	105	50	312	138	20	121	4265	94	64	257	76	1355	328	563	510	120	145	88	44	62	14440
