H_TT1	H_TT2	H_TT3	H_TT5	H_TT7	H_TT11	H_TT12	H_TT16	H_TT20	H_TT21	H_TT23	H_TT24	H_TT28	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81	H_BP1	H_BP4	H_BP5	H_BP7
Gemmatirosa kalamazoonensis	0	10	7	0	0	20	7	48	0	0	9	0	0	20	0	0	0	0	23	0	180	93	12	13	0	0	0	0	0	14
Fusobacterium hwasookii	0	0	15	0	0	6	205	29	384	87	0	18	645	0	0	0	662	9	81	754	1455	10	90	14	31	0	132	0	0	20
Urbifossiella limnaea	0	29	33	0	0	0	0	50	0	112	0	25	0	0	0	0	0	0	131	0	1378	376	0	0	0	0	0	0	0	18
Verrucomicrobium spinosum	0	0	0	0	0	0	8	31	7	24	0	0	0	0	0	0	0	0	15	0	146	98	0	0	24	0	0	0	0	0
Campylobacter ureolyticus	0	15	154	0	113	51	39496	22	2675	42	60	2077	4128	69	260	23041	11880	29	95339	1779	75998	54611	13066	297	121	4236	150	221	224	980
Bacteriovorax stolpii	9	0	0	0	0	8	0	0	0	0	0	18	0	0	0	0	0	0	41	0	0	293	0	205	0	0	0	0	0	55
Fusarium graminearum	94	54	0	0	0	0	0	0	0	16	0	39	0	0	0	7	0	0	41	0	0	400	39	0	0	0	0	0	50	0
Fusarium poae	59	18	0	0	0	17	31	33	0	0	0	0	0	0	0	52	0	0	164	19	265	159	87	0	30	0	0	0	0	75
Fusarium pseudograminearum	47	0	11	18	0	0	17	46	62	0	53	0	33	0	0	0	0	0	523	0	0	73	1306	25	1578	0	0	0	0	198
Fusarium keratoplasticum	92	29	0	0	0	35	63	66	0	18	28	117	163	0	0	0	0	19	216	0	110	72	170	0	12	0	0	9	0	0
Fusarium falciforme	0	0	0	0	0	0	0	48	0	10	0	0	0	0	0	0	0	0	83	0	0	187	197	0	81	0	0	27	0	133
Fusarium oxysporum	23	0	0	0	0	38	22	0	19	0	40	185	198	0	0	0	0	0	62	0	444	170	70	0	0	0	0	22	0	0
Fusarium musae	80	96	33	31	0	43	459	322	21	1064	70	407	0	60	0	13	24	20	3635	46	1652	804	18142	85	1037	70	0	484	48	274
Ustilaginoidea virens	15	15	0	0	0	0	48	78	8	22	12	80	32	0	0	14	0	0	161	0	91	191	295	0	1930	15	24	36	0	138
Thermothielavioides terrestris	7	9	0	0	0	0	77	60	0	15	0	0	53	0	0	705	0	0	91	50	0	139	88	0	21	40	0	0	0	25
Botrytis cinerea	125	212	40	21	0	13	624	647	166	123	509	313	116	19	0	53	11	6	1818	90	777	1136	3427	138	1613	86	23	107	81	299
Zymoseptoria tritici	179	221	70	182	0	36	3975	1152	167	2924	272	432	281	178	27	117	35	20	5762	518	1758	1478	48366	416	1160	150	55	564	23	413
Fulvia fulva	61	87	41	0	0	17	1463	569	55	1307	96	379	323	89	0	76	49	17	5111	1909	2329	825	17699	45	279	61	48	590	70	208
Cercospora beticola	28	98	41	73	0	38	1225	552	60	1049	94	180	1038	50	0	11	0	0	780	653	1332	423	9794	91	444	79	0	327	62	178
Ascochyta rabiei	1825	463	119	104	78	342	4121	2805	2407	1139	1886	1305	1031	623	30	92	74	40	20159	129	9075	5502	46730	1356	82032	925	330	1190	396	4063
Penicillium oxalicum	50	130	0	0	0	70	1186	369	72	147	128	96	412	48	0	0	0	36	340	79	276	1213	710	0	27	19	0	0	22	97
Pichia kudriavzevii	229	87	9	23	0	137	404	556	41	227	0	81	24	16	17	0	6	69	169	38	408	291	534	77	34	60	111	133	79133	174
Brettanomyces nanus	39	10	0	21	0	0	171	23	57	0	84	59	0	0	0	0	0	0	251	0	0	173	376	25	27	16	0	0	33	61
Sugiyamaella lignohabitans	45	46	21	0	0	6	0	36	8	0	88	18	18	8	0	14	7	0	287	8	536	1402	102	0	13	8	0	0	6	0
[Candida] auris	150	170	197	24	0	156	404	740	0	49	13	651	143	9	28	79	62	33	242	24	432	397	352	65	929	14	71	118	17	124
Malassezia restricta	1500	2135	360	2468	338	1255	13163	17515	3371	3671	1585	17181	51567	757	481	865	684	380	18302	6727	71420	24763	21103	5710	5944	3928	11207	25234	12150	45583
Sporisorium graminicola	213	63	8	0	0	135	305	169	23	174	18	148	101	9	0	32	13	0	500	0	276	8164	935	80	86	28	0	81	58	85
Marasmius oreades	239	63	15	76	0	56	297	1555	127	56	116	8326	583	16	14	377	0	0	1812	0	0	7276	2628	199	81	93	191	109	37	230
Rhizoctonia solani	278	58	0	22	0	56	372	1967	46	33	67	6334	615	9	0	108	32	54	1508	64	686	8933	1815	58	50	110	44	107	55	183
Babesia bigemina	0	9	0	40	0	0	0	40	0	54	6	14	16	0	10	0	0	0	89	0	13	97	26	18	167	24	0	23	19	33
Babesia microti	80	21	0	0	0	12	0	7	0	16	0	24	0	0	0	56	0	0	165	0	0	663	0	14	6	8	0	0	0	0
Phaeodactylum tricornutum	315	93	0	0	0	74	110	300	28	65	9	328	44	14	0	233	0	0	136	0	526	1472	185	52	225	17	26	25	0	65
Thalassiosira pseudonana	28	29	0	11	0	18	36	254	69	64	106	140	102	0	0	38	0	0	207	0	91	390	124	15	0	23	0	0	44	60
Cryptomonas paramecium	21	24	0	12	0	40	20	114	0	0	6	51	29	8	0	0	7	0	249	0	121	172	43	7	10	0	0	0	0	39
Leishmania mexicana	0	0	5	48	0	0	0	34	0	10	74	0	34	0	13	0	19	0	68	48	308	601	44	14	0	18	8	56	0	81
Enterobacter hormaechei	190	817	0	103	0	0	28	81	0	0	61	89	0	0	0	110	0	0	241	0	738	241	314	120	0	138	0	0	93	261
Shigella dysenteriae	438	208	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	39	0	0	0	64	0	0	0	0	0	0	317
Klebsiella michiganensis	0	0	0	0	0	0	0	10	0	29	167	25	0	33	17	0	8	11	64	46	0	468	46	0	14	14	0	0	0	137
Acinetobacter sp. LUNF3	92	0	0	0	0	0	79	0	0	0	0	0	507	0	0	0	0	0	0	0	757	129	261	135	0	93	0	0	0	0
Acinetobacter sp. SWBY1	0	14	17	0	71	0	10	20	0	0	9	0	212	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0
Acinetobacter sp. MYb10	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	16	0
Acinetobacter sp. Colony158	0	14	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
Pseudomonas siliginis	0	0	6	47	0	0	0	12	0	0	0	0	65	17	33	0	0	0	0	0	603	0	0	59	34	0	0	73	0	0
Stenotrophomonas rhizophila	0	0	0	0	0	0	0	7	0	0	0	0	40	0	7	0	0	0	492	0	0	0	0	7	0	0	0	35	0	0
Haemophilus haemolyticus	61	0	0	28	0	0	0	165	194	0	0	177	0	0	0	0	9	0	61	0	215	226	37	0	0	15	24	0	0	250
Cardiobacterium hominis	0	15	0	14	0	14	0	111	14	0	73	82	0	0	0	10	11	0	44	0	139	27	32	113	0	11	48	154	0	35
Paracoccus sp. TOH	30	129	0	19	0	0	0	245	14	64	36	203	24	0	0	18	20	0	261	0	167	145	160	0	0	0	0	83	0	324
Paracoccus stylophorae	32	59	0	0	0	0	0	0	0	0	0	152	0	0	0	0	20	0	38	41	0	0	37	0	0	0	0	0	0	21
Paracoccus versutus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	194	0	0	0	0	0	0	0	46
Paracoccus mutanolyticus	147	0	171	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152
Aliiroseovarius crassostreae	0	11	0	0	0	13	201	16	101	0	0	72	0	0	0	188	137	0	20	0	166	293	0	0	0	0	0	0	0	205
Abyssibius alkaniclasticus	136	62	33	19	0	0	33	361	0	0	0	198	0	0	0	0	0	0	34	0	501	0	33	0	0	0	0	0	0	12
Rhizobium leguminosarum	0	0	0	0	0	0	38	0	0	0	0	0	52	0	0	0	0	0	127	0	48	62	0	0	0	0	0	41	0	0
Methylobacterium sp. WL1	0	0	0	0	0	0	0	138	0	146	0	0	223	0	0	0	0	0	81	0	319	353	23	0	0	27	0	0	93	30
Methylobacterium sp. FF17	135	80	6	7	0	46	18	237	0	386	0	85	450	0	0	0	0	0	618	19	602	1580	173	163	19	24	79	10	0	51
Aureimonas sp. AU12	0	0	0	0	0	0	24	0	0	0	0	0	16918	0	0	0	0	0	0	0	0	120	0	0	0	0	0	60	58	358
Sphingomonas sp. HMP9	0	55	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
Sphingomonas sp. AAP5	25	184	0	0	0	0	0	38	0	0	0	41	0	0	0	0	0	0	37	0	0	0	0	17	12	0	0	0	0	0
Sphingomonas sp. LHG3406-1	0	0	0	0	0	0	0	130	0	0	0	0	54	0	0	0	0	0	62	0	0	183	0	21	0	0	0	35	0	0
Sphingomonas cannabina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	272	94	0	0	9	0	0	0	0	0
Sphingomonas insulae	0	0	0	0	0	0	0	296	0	15	86	40	0	0	0	0	44	0	115	10	445	0	393	71	0	17	0	0	0	0
Sphingomonas melonis	0	567	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	88	0	293	0	0	0	0	0	0	0	0
Rhizorhabdus dicambivorans	0	0	0	0	0	0	0	194	0	0	0	0	35	0	0	0	0	0	147	0	0	153	0	0	0	0	0	0	0	0
Tardibacter chloracetimidivorans	0	28	0	45	0	0	0	218	0	0	0	0	74	0	0	0	0	0	0	0	881	930	169	37	54	0	0	0	0	0
Brevundimonas sp. BT-123	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	0	0	0	0	0	418	92	0	58	0	30	0	0	0	0
Brevundimonas pondensis	0	0	0	0	0	0	93	0	0	41	0	0	0	0	0	0	0	0	110	0	71	46	16	19	0	10	0	0	25	68
Brevundimonas mediterranea	0	0	0	0	0	0	0	0	74	57	0	0	0	12	28	0	0	0	0	0	0	25	0	0	0	0	0	28	0	0
Brevundimonas naejangsanensis	154	0	0	47	0	0	0	0	0	0	0	0	0	45	69	0	0	0	248	0	0	0	41	0	0	13	0	0	0	0
Brevundimonas vancanneytii	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	803	0	173	337	77	0	0	0	0	0	0	57
Roseomonas haemaphysalidis	0	8	0	0	0	18	0	0	170	0	0	44	9349	0	0	0	0	0	0	0	0	138	0	0	0	7	0	0	0	13
Roseococcus microcysteis	25	0	0	0	0	0	0	95	389	0	0	0	5509	0	0	0	0	0	36	11	0	50	16	16	21	10	0	0	0	0
Delftia sp. HK171	0	0	0	0	0	0	0	96	65	0	0	0	0	60	0	0	67	0	93	0	0	0	84	0	0	0	0	0	100	81
Variovorax paradoxus	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1973	0	0	421	21	0	0	0	177	65	0	43
Comamonas aquatica	43	41	0	0	0	0	63	115	35	52	27	20	93	0	0	0	31	0	86	108	0	648	47	27	0	11	203	0	45	158
Ottowia testudinis	43	25	0	0	0	0	0	23	0	158	0	47	0	0	0	0	0	0	0	0	0	51	15	0	0	15	0	0	0	0
Ottowia sp. oral taxon 894	31	7	9	0	0	39	76	32	99	0	18	354	0	0	0	24	32	0	47	62	0	285	58	13	18	9	0	0	0	146
Massilia sp. REN29	0	52	0	53	0	0	19	65	0	0	0	11	35	0	0	0	0	0	36	0	250	21	62	51	52	19	0	36	31	37
Massilia forsythiae	0	38	0	0	0	0	0	154	25	0	15	47	85	0	0	0	0	0	1865	0	773	129	929	299	37	11	0	84	0	16
Herbaspirillum huttiense	0	14	0	0	628	0	350	1067	774	1120	820	1257	38	774	646	757	579	215	1416	961	438	6113	655	72	52	491	139	205	1670	3529
Sphaerotilus sulfidivorans	0	0	0	0	0	0	0	23	20	0	0	14	84	0	0	0	0	0	97	0	65	198	35	0	18	0	101	0	24	28
Burkholderia cenocepacia	0	0	0	0	0	28	61	29	41	0	0	15	118	0	0	19	0	23	78	0	40	60	72	77	33	0	0	0	0	0
Cupriavidus metallidurans	7	13	0	0	0	0	20	0	0	0	0	0	68	0	0	0	0	0	114	0	95	82	41	35	17	19	0	55	47	178
Duodenibacillus massiliensis	0	0	56	0	0	0	251	0	580	23	9	2531	0	15	9	1604	870	0	115	38	0	0	0	0	0	0	0	0	0	1785
Neisseria macacae	0	106	0	0	0	0	19	134	70	35	29	160	0	0	0	0	0	0	0	0	0	233	58	443	0	313	200	0	34	269
Neisseria subflava	77	60	0	48	0	42	67	50	0	14	9	0	0	38	0	0	0	0	16	25	1415	134	25	0	0	110	148	146	52	21
Neisseria mucosa	0	0	0	145	0	0	0	0	185	0	37	0	0	0	0	60	0	0	23	212	165	79	0	0	0	93	0	0	74	94
Azospira sp. I09	0	16	0	0	0	32	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0
Microlunatus sagamiharensis	15	49	0	134	0	309	45	93	78	0	0	67	36	502	0	0	84	0	212	0	34	1270	73	8	0	15	0	0	6	132
Microlunatus phosphovorus	17	26	0	0	0	85	54	97	8	0	0	92	0	7	0	0	6	0	218	17	100	176	15	9	40	19	30	9	8	0
Tessaracoccus defluvii	0	0	0	0	8	0	6384	0	0	0	0	91	143	0	0	102	98	13	0	0	599	35	0	17	22	0	21	49	0	10
Nocardioides sp. CF8	24	36	0	0	0	0	0	79	0	9	0	0	0	0	0	0	0	0	282	0	0	99	0	0	12	0	0	9	0	30
Nocardioides sp. S-1144	0	21	0	0	0	23	47	62	0	11	17	0	0	0	0	0	0	0	199	0	128	97	0	0	24	0	0	21	0	0
Nocardioides sp. JS614	0	39	35	15	0	0	0	0	0	7	0	0	0	0	0	0	0	0	587	0	0	256	0	0	0	0	0	0	0	0
Nocardioides aquaticus	18	0	0	0	0	0	0	44	0	12	0	0	90	0	0	0	10	0	422	0	172	75	19	13	12	0	0	0	0	0
Nocardioides piscis	23	17	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	99	0	0	303	0	0	0	0	0	0	0	0
Nocardioides seonyuensis	0	52	0	0	0	10	0	84	0	7	0	0	60	0	0	0	0	0	81	0	181	153	34	25	81	18	82	39	0	29
Marmoricola scoriae	0	18	0	0	0	0	0	211	9	38	0	48	98	0	0	0	0	0	76	0	0	62	56	44	0	0	0	47	0	58
Friedmanniella luteola	9	12	0	0	0	66	11	54	70	17	0	15	43	38	0	8	7	17	92	12	8	147	68	48	18	8	0	0	0	67
Micropruina glycogenica	0	25	7	0	0	0	198	65	22	0	0	156	0	0	0	0	45	0	75	71	0	93	67	0	0	0	0	0	11	0
Micrococcus sp. KBS0714	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	580	0	0	0	165	142	0	0	146	0
Kocuria rosea	23	19	14	8	36	28	170	149	15	16	11	0	162	0	201	129	150	13	309	46	224	173	61	0	95	10	12	47	0	212
Microbacterium hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium aurum	12	0	13	0	0	0	0	20	0	0	28	0	34	0	0	0	0	0	316	0	0	283	19	59	0	0	0	0	19	0
Agrococcus sp. REN33	0	0	0	0	0	0	0	70	25	0	0	0	0	0	0	0	0	0	0	0	0	239	77	0	0	0	0	0	0	0
Frigoribacterium sp. SL97	0	0	0	0	0	0	39	0	0	0	0	0	100	0	0	0	0	0	29	0	0	56	0	0	0	0	0	0	0	20
Corynebacterium sp. SCR221107	0	0	0	5	0	0	0	7	16	0	0	0	0	20	0	167	33	0	0	0	88	120	90	25	90	14	0	0	0	48
Corynebacterium ureicelerivorans	0	13	0	7	0	0	0	486	9	24	0	7	8	0	7	0	0	7	113	9	0	17	44	21	0	8	0	80	9	806
Corynebacterium amycolatum	0	0	0	15	0	0	4148	215	628	170	0	119	175	0	0	130	145	0	16	0	3511	0	940	1295	0	8	29	25	51	454
Corynebacterium bovis	15	23	0	9	0	58	4648	126	42	0	108	78	34	15	11	187	99	19	119	128	1077	588	89	49	20	220	0	0	23	674
Corynebacterium maris	0	0	0	14	0	0	192	59	85	72	0	41	72	0	0	266	464	38	129	0	1842	66	14	498	26	0	0	0	19	2397
Corynebacterium humireducens	8	12	0	0	0	0	69	70	0	17	0	0	68	0	0	581	12	0	0	0	0	0	497	646	0	0	0	0	0	114
Rhodococcus erythropolis	0	0	35	0	0	0	33	490	0	26	0	39	0	22	0	0	0	0	0	66	0	0	0	0	72	0	0	0	0	38
Mobiluncus sp. Marseille-Q7826	0	0	468	0	0	0	29464	0	0	0	15	1562	5	36	41	4551	236	0	39	328	7866	0	544	0	15	0	30	421	0	296
Varibaculum prostatecancerukia	12	0	384	0	38	0	20383	13	528	22	88	3353	1589	114	27	19902	19506	6	5601	27	25585	228	6674	125	0	24	221	152	15	2771
Pseudonocardia dioxanivorans	0	96	0	0	0	38	55	86	0	0	0	0	0	0	0	33	0	15	77	0	242	47	10	8	12	26	0	0	0	0
Bifidobacterium bifidum	41	0	0	0	0	0	43901	0	0	0	0	0	0	0	0	17292	0	0	0	0	0	0	0	9	0	0	0	32	0	0
Modestobacter sp. L9-4	54	0	0	0	0	20	55	413	0	16	0	48	67	0	0	0	0	68	299	0	119	170	31	0	37	0	0	57	0	34
Capillimicrobium parvum	0	0	0	0	0	0	0	10	16	35	0	0	9	104	0	0	0	0	25	0	117	43	0	0	20	0	0	0	0	46
Iamia sp. SCSIO 61187	0	18	0	0	0	0	19	0	0	0	0	0	0	0	0	0	10	0	58	0	87	328	0	12	24	7	0	0	0	11
Ilumatobacter coccineus	20	94	0	50	0	0	0	61	103	0	10	14	0	0	0	22	200	0	22	0	151	83	28	0	28	0	0	0	15	0
Gordonibacter pamelaeae	0	0	59	0	0	0	0	0	0	0	0	118	0	0	0	78	169	0	0	0	0	0	178	0	0	0	0	16	0	0
Lactococcus raffinolactis	18	12	0	27	0	0	50	656	34	45	6	252	0	0	0	12	0	10	16	0	86	25	14	11	0	0	0	0	0	50
Aerococcus urinaeequi	40	84	0	0	127	42	120	0	0	0	75	0	0	17	0	0	0	0	0	0	0	106	0	0	58	25	189	0	74	405
Anaerobutyricum hallii	5	9	25	0	0	0	40	16	37	0	139	380	120	11	0	119	164	0	202	428	208	25	7	8	5	7	0	8	0	35
Anaerostipes hadrus	11	0	6	0	22	0	657	25	95	0	19	588	0	68	0	90	209	0	183	335	427	0	121	0	5	11	0	0	0	266
Clostridium tetani	14	68	0	258	0	14	145	390	96	27	405	239	6	8	0	16	0	0	101	0	69	55	22	14	37	16	13	8	47	85
Peptacetobacter hiranonis	7	10	0	7	15	6	18	39	13	0	0	12	0	0	0	29	70	0	28	14	0	0	105	0	5	0	0	0	0	34
Anaerococcus obesiensis	72	210	3506	0	118	0	169747	215	9618	154	2111	17180	0	0	0	187823	125626	0	731	117	37086	1648	11603	4927	0	0	659	0	0	116222
Megamonas funiformis	22	0	84	0	0	18	1072	46	907	0	18	1246	820	0	0	1276	1953	22	1781	252	1645	35	650	55	0	9	219	0	0	66
Deinococcus sp. NW-56	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	16	0	519	67	15	126	129	127	0	29	30	0	0	0	41
Deinococcus radiopugnans	0	0	0	0	0	0	20	214	0	34	10	23	0	0	0	0	0	54	51	29	373	129	19	17	0	0	0	0	0	0
Ureaplasma parvum	0	296	15171	37978	1167	0	0	0	7042	28950	0	0	0	36521	41389	44005	33441	0	2489	1484	0	76	0	0	0	0	0	0	0	0
Empedobacter falsenii	9	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	57	78	0	0	0	0	27	0	40
Pedobacter roseus	0	0	0	0	0	0	0	33	0	0	0	0	0	1271	1244	0	0	0	62	0	231	131	0	0	0	0	0	0	0	57
Prevotella denticola	0	0	31	13	0	0	3637	9	50	0	18	856	170	0	0	153	2066	0	14410	78	4627	0	1019	17	13	20	66	0	0	89
Prevotella sp. oral taxon 299	0	17	302	0	14	0	2268	11	308	19	22	2526	14	8	0	217	8111	0	128	254	5712	36	4687	0	0	25	377	12	0	148
Prevotella histicola	0	0	42	0	0	0	1379	14	508	0	10	895	89	0	0	515	2042	0	1014	48	1478	96	168	0	0	12	249	0	0	128
Prevotella nigrescens	23	0	145	0	82	0	1814	342	181	23	46	2281	631	0	11	131	4639	16	299	160	7080	205	2210	0	0	23	59	0	19	199
Humisphaera borealis	12	0	0	0	0	0	14	28	311	28	26	66	9	188	0	18	0	0	6	0	308	191	12	146	29	0	0	0	41	29
Campylobacter hominis	0	0	742	0	0	0	37	7	0	68	0	5104	81	0	79	0	11488	0	102	22	3513	38	2476	56	5	83	0	11	71	0
Leptotrichia wadei	10	31	23	16	16	0	17	110	9	0	27	68	0	0	0	32	0	0	38	16	50	0	68	0	0	40	0	37	0	0
Aspergillus oryzae	0	0	0	0	0	0	0	235	71	0	0	0	0	0	0	0	0	0	582	0	0	0	1233	0	861	0	0	327	0	0
Aspergillus luchuensis	43	47	0	0	0	14	204	88	12	0	0	0	0	0	15	0	0	0	232	29	0	148	222	75	203	0	60	0	0	259
Cryptosporidium parvum	0	20	0	21	0	5	36	342	13	1347	629	4023	0	17	9	31	6	10	241	14	50	2164	342	38	34	17	9	32	0	54
Dictyostelium discoideum	104	19	0	16	0	21	19	50	21	20	0	21	0	0	0	936	0	7	156	7	172	76	91	14	0	18	5	0	0	18
Gardnerella piotii	354	0	390	0	0	0	47118	0	60	0	1570	1337	29	0	34	161	272	0	0	512	0	61	0	0	9	0	13850	0	0	0
Bifidobacterium sp. ESL0775	46	0	0	0	0	0	2543	0	0	0	64	154	59	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium animalis	1167	246	1887	400	0	0	118249	266	258	0	4316	5420	985	0	0	5695	280	273	490	0	481	203	0	489	67	187	225	83	0	473
Bifidobacterium dentium	49	0	7	0	0	0	96984	0	0	0	0	8	0	804	0	6042	0	0	0	0	3970	0	0	0	0	0	0	0	0	0
Scardovia inopinata	17	0	0	0	0	0	149633	0	0	0	17	2815	32	12	0	0	30	0	49	0	21	0	0	12	0	0	10	72	0	0
Parascardovia denticolens	14	0	0	0	0	0	58324	0	0	0	0	1438	10	12	0	0	0	0	72	0	9	0	0	0	0	0	0	22	0	0
Microbacterium oxydans	0	0	12	0	0	0	287	144	0	110	41	130	0	42	35	0	0	0	107	0	0	887	73	0	50	84	0	0	58	0
Brevibacterium aurantiacum	0	0	0	0	45	19	150	180	0	0	0	0	0	27	0	0	0	18	161	414	558	160	53	123	0	0	14	0	30	0
Brachybacterium sp. P6-10-X1	19	18	0	0	0	0	2099	9	32	0	0	112	47	0	0	36	13	0	20	118	283	0	114	38	0	0	0	0	0	7
Corynebacterium rouxii	0	11	0	0	0	0	63	122	0	0	20	11	0	0	0	35	0	0	5	0	9	0	7	0	0	0	0	0	0	86
Corynebacterium glutamicum	1508	161	0	0	0	0	97831	105336	0	550	0	5385	0	0	0	20225	16021	19	9649	0	26380	3712	5154	33716	3415	0	0	0	1930	54702
Mycolicibacterium goodii	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	345	19	0	116	0	410	0	69	0	0	0	0	0	0	84
Streptomyces rimosus	0	0	0	0	0	0	102671	3648	1444	0	2833	0	0	0	0	5069	0	0	2808	0	0	2272	0	0	0	0	0	0	0	0
Streptomyces albidoflavus	0	0	27	100	0	0	151	34	0	0	0	44	0	32	0	18	0	36	0	0	0	27	26	29	0	0	44	0	0	34
Pseudonocardia broussonetiae	20	0	0	0	0	0	0	154	0	30	0	0	0	0	0	0	0	83	60	7	0	85	0	0	14	0	86	0	10	7
Berryella intestinalis	0	0	0	0	0	0	0	0	0	0	0	1200	1455	0	0	0	0	0	15	0	0	0	0	0	0	0	83	0	0	0
Berryella wangjianweii	0	0	0	0	0	0	0	0	0	0	0	408	276	0	0	0	0	0	0	7	0	0	0	0	0	0	98	0	0	0
Lancefieldella sp. Marseille-Q7238	0	44	342	21	0	7	393	0	136	0	11	383	0	27	0	143	1395	20	2561	76	58	11	218	40	0	0	25	0	0	273
Olsenella timonensis	0	0	99	0	0	18	95	0	0	0	0	344	0	0	0	270	1583	17	0	0	22	7	474	0	0	0	0	0	0	13
Lactobacillus sp. 3B(2020)	8	9	12	25	8	7	140	0	0	24	0	35	0	0	226	35	7	632	11	399	143	23	26	41	864	25	0	109	0	4227
Lactobacillus sp. JM1	1644	0	12435	1291	1071	0	51630	14210	3968	4526	0	6906	0	0	0	3650	3981	673	943	0	2094	2571	579	1139	23422	0	0	0	0	1560
Lactobacillus sp. ESL0680	10	17	52	20	67	16	176	82	18	0	0	111	0	40	43	38	262	93	0	15	32	32	12	36	29	0	0	0	0	85
Lactobacillus sp. ESL0677	0	29	59	0	0	17	1361	66	0	0	0	242	0	0	0	15	179	17	10	12	12	0	0	0	55	0	0	0	0	31
Lactobacillus paragasseri	1258	54	2719	0	0	0	133809	5026	2370	608	0	4372	0	0	0	2135	3888	0	0	100	13553	0	71	410	3181	0	0	0	140	911
Limosilactobacillus pontis	0	0	0	0	0	0	72	110	0	6	0	285	0	0	235	19	0	667	39	648	0	0	46	150	298	12	0	74	0	3612
Limosilactobacillus gastricus	0	0	0	0	0	0	9	0	0	0	0	0	0	0	138	0	0	420	0	362	0	0	22	0	414	0	0	73	0	1927
Limosilactobacillus mucosae	23	0	42	46	26	52	87	60	63	0	0	66	0	0	75	9	17	481	65	401	58	141	61	60	137	23	37	51	0	2600
Ligilactobacillus murinus	0	13	36	0	0	24	99	59	0	0	0	23	0	6	0	14	18	56	35	6	12	62	12	15	91	0	56	0	0	44
Pediococcus pentosaceus	0	0	0	0	0	0	90	338	420	132	0	788	112	39	0	0	0	0	0	0	0	0	0	150	0	0	0	101	0	0
Latilactobacillus curvatus	0	49	51	76	13	50	310	67	0	0	0	79	51	0	0	40	44	87	42	17	64	110	27	69	53	0	20	6	0	82
Streptococcus sp. 116-D4	25	0	7	15	0	6	29	113	89	22	0	16	0	0	0	0	0	8	181	18	0	119	45	0	22	61	14	19	23	0
Streptococcus anginosus	22	90	39	39	0	13	481	333	16122	28	501	35728	43188	17	1328	159	42936	43	44672	2878	8391	30	76	83	21	27	245	0	0	138
Streptococcus pasteurianus	0	0	31	0	0	0	139	102	0	0	0	93	0	0	0	0	89	28	0	0	52	26	36	61	26	0	63	0	0	39
Lactococcus garvieae	0	0	154	868	0	287	1700	1144	0	0	0	0	0	0	0	0	144	498	300	0	493	278	259	219	137	0	0	0	0	301
Carnobacterium maltaromaticum	0	85	22	58	0	14	81	40	0	0	0	69	94	0	17	0	0	43	35	13	25	12	14	0	51	7	16	0	0	39
Desemzia incerta	0	28	0	0	0	23	265	19	0	0	13	63	0	0	0	24	0	48	0	0	15	21	0	76	15	0	0	0	0	0
Bacillus spizizenii	0	0	19	0	0	0	69	42	0	0	0	27	36	0	0	15	14	18	6	0	48	9	121	202	8	0	47	0	0	22
Bacillus atrophaeus	0	249	208	348	0	21	2046	0	0	7	0	359	0	0	0	769	449	808	287	0	235	13	233	266	202	0	21	0	0	262
Bacillus sp. 7D3	0	0	0	296	0	155	351	167	71	0	0	389	0	0	0	431	0	710	308	0	2764	924	209	389	116	0	638	0	0	270
Geobacillus sp. GHH01	0	0	0	0	0	23	368	45	0	0	0	38	39	0	0	55	14	83	19	0	229	99	0	287	44	0	124	23	0	18
Paenibacillus physcomitrellae	0	12	0	15	6	19	85	36	9	0	0	53	36	0	0	19	31	82	8	18	76	55	30	114	57	0	61	23	0	24
