name	taxonomy_id	taxonomy_lv	D_AM2	D_AM3	D_AM4	D_AM5	D_AM6	D_AM7	D_AM8	D_AM9	D_AM10	D_AM11	D_AM12	D_AM13	D_AM14	D_AM15	D_AM16	D_AM17	D_AM18	D_AM19	D_AM20	D_AM21	D_AM22	D_AM23	D_AM24	D_AM25	D_AM26	D_AM27	D_AM28	D_AM29	D_AM32	D_AM34	D_AM36	D_AM37	D_AM38	D_AM39	D_AM40	D_AM41	D_AM42	D_AM43	D_AM44	D_AM45	D_AM46	D_AM47	D_AM48	D_TT76	D_TT88	H_BP1	H_BP3	H_BP4	H_BP5	H_BP6	H_BP7	H_TT1	H_TT2	H_TT3	H_TT4	H_TT5	H_TT7	H_TT8	H_TT9	H_TT10	H_TT11	H_TT12	H_TT15	H_TT16	H_TT17	H_TT18	H_TT21	H_TT20	H_TT23	H_TT24	H_TT28	H_TT29	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT59	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81
Corynebacterium glaucum	187491	S	24	28	7	0	0	0	19	16	7	0	0	0	19	7	24	19	0	7	36	0	0	72	0	0	8	97	12	0	5	0	21	21	28	5	35	94	31	24	0	0	0	0	8	0	9	0	0	0	11	0	906	0	0	0	5	0	0	1090	84	6	0	705	12	806	43	0	0	50	0	130	0	317	0	0	0	47	0	31	1786	0	237	88	95	3967	0	0
Corynebacterium urealyticum	43771	S	22	20	0	0	0	17	8	0	0	0	0	0	7	20	0	6	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	1891	11	8	0	18	0	0	101	0	0	0	581	1872	20	6	116	64	129	0	110	0	0	7	0	305	530	16	224	595	0	2963	12	12	0	0	7
Corynebacterium glucuronolyticum	39791	S	19	0	53	25	71	234	0	56	40	111	20	49	81	0	0	35	112	77	54	2259	0	60	6	14	54	11	160	7	0	36	35	142	61	45	33	245	146	40	20	37	0	0	27	35	18	185	8390	124	112	70	75486	22	18	87	308	80	0	133	17106	39	178	14937	111984	65	99	9129	8790	3015	13	1991	1273	615	247	151	13920	21937	1496	6830	25	60	94717	1941	61	366	56	532
Corynebacterium appendicis	163202	S	20	0	30	80	0	0	157	55	53	69	15	34	6	12	20	22	16	20	0	135	8	9	0	5	18	22	17	10	5	11	39	0	100	17	33	0	224	8	8	24	5	0	6	0	15	65	12	26	0	18	729	6	12	16	50	56	0	0	17	8	25	90	12	315	0	0	7	32	0	0	0	0	0	9	0	0	0	166	121	0	167	42	16	0	0	15
Corynebacterium lujinxingii	2763010	S	19	47	22	0	0	0	56	15	22	16	10	12	0	9	432	10	24	0	28	16	0	0	0	0	0	18	21	0	0	18	15	10	64	10	10	90	437	9	0	0	6	0	0	0	0	0	19	0	7	67	271	0	0	0	55	18	0	84	0	0	6	59	12	80	12	0	0	0	0	0	0	47	0	0	0	6	0	44	125	0	46	37	0	396	0	17
Corynebacterium coyleae	53374	S	16	0	0	0	0	0	176	99	8	0	12	0	131	7	32	13	23	0	0	0	7	0	0	7	0	34	24	0	0	0	44	8	0	0	25	61	257	0	0	0	9	0	0	0	6	0	0	0	0	0	722	0	8	0	99	0	0	1785	22	0	0	7308	14	132	44	0	0	167	0	0	0	1596	0	0	14	42	0	71	14	0	7472	14	13	687	22	0
Corynebacterium stationis	1705	S	13	0	6	18	0	8	21	11	6	0	0	0	8	19	0	0	5	0	31	0	0	0	0	0	0	0	0	9	0	0	25	16	12	0	11	0	0	0	14	7	0	0	0	5	0	0	196	0	0	0	1954	0	0	0	6	0	0	0	18	0	0	74	1348	46	0	175	497	73	0	43	0	0	0	0	204	345	29	554	10	0	1105	74	26	45	0	0
Corynebacterium macginleyi	38290	S	13	25	6	13	0	0	16	33	0	0	5	0	0	21	0	73	0	28	105	26	0	31	0	0	0	11	36	35	15	0	19	5	205	0	33	0	20	0	0	49	5	0	0	0	16	39	29	24	0	105	63	0	18	0	157	0	0	78	0	0	0	9	1347	76	160	0	9	59	0	0	0	10	0	0	155	7	0	16	870	0	0	64	871	486	8	0
Corynebacterium hadale	2026255	S	24	56	0	0	0	0	0	0	0	72	34	20	14	0	0	0	0	16	87	47	0	29	0	0	0	52	8	0	0	64	45	0	335	157	0	0	0	0	0	43	0	17	0	13	48	0	158	37	0	0	1665	0	0	13	115	39	112	0	243	116	21	31	22	1108	86	39	55	71	0	16	0	25	0	0	92	78	0	46	1309	0	901	8	0	936	10	0
Corynebacterium diphtheriae	1717	S	229	307	16826	0	0	280	659	572	994	1728	2681	298	15061	6	0	2293	1120	432	508	0	0	16343	154	0	259	633	370	8155	1088	65	1509	102	0	798	938	586	2074	2502	325	1396	302	4822	0	4248	212	453	13261	0	9	13	14883	0	1038	1006	288	939	0	7333	6202	0	535	35095	17402	8601	185	13224	25689	0	913	3192	0	10076	0	0	4737	311	2151	6850	4415	511	5882	1136	7128	1023	29	5172
Corynebacterium propinquum	43769	S	8	130	25	31	119	0	38	19	21	11	0	0	0	318	71	41	0	6	214	18	0	65	6	0	5	22	9	15	6	35	20	0	0	0	9	81	60	26	8	143	0	0	6	0	0	13	24	21	0	221	37	60	19	5	29	0	0	0	21	0	0	16	6	46	66	0	0	30	0	0	41	0	0	0	7	0	0	5	0	0	150	32	60	494	16	0
Corynebacterium fournieri	1852390	S	8	12	0	7	19	0	52	0	19	25	7	0	6	0	42	9	0	8	49	56	0	0	12	0	0	51	26	16	5	0	16	0	0	0	23	0	169	0	10	7	0	5	22	11	11	0	0	0	0	0	953	0	0	0	17	0	0	92	0	11	6	130	10	969	15	0	12	78	0	0	0	0	0	0	0	0	0	102	115	0	81	0	20	13	0	0
Corynebacterium gottingense	2041036	S	11	14	0	22	0	0	0	0	11	124	22	59	0	0	0	84	67	23	26	98	0	0	0	0	11	60	0	0	0	0	29	0	399	147	0	68	0	0	0	39	0	20	0	0	0	0	39	0	0	25	194	0	23	35	278	14	0	0	0	210	50	0	0	384	81	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	1374	26	21	87	0	35
Mycobacterium tuberculosis	1773	S	170	0	2695	0	0	1541	0	2602	1697	644	845	104	1528	223	231	708	788	187	0	386	1622	485	0	42	141	680	1574	1961	1036	0	2162	2881	231	1580	304	449	457	179	275	1036	2908	2120	124	834	125	1115	1200	0	0	0	6856	676	1168	903	258	578	523	2752	871	74	1322	21829	2262	3108	533	2576	463	421	244	1000	646	3138	124	75	826	713	2632	1768	7573	282	3978	5587	3053	4400	667	0
Lawsonella clevelandensis	1528099	S	196	198	147	142	106	419	139	1219	214	1073	133	28	47	663	144	2859	715	244	261	236	91	417	117	23	45	49	761	342	54	320	7573	226	97	231	1174	7862	318	141	153	100	114	101	260	275	150	500	10452	518	706	1427	9071	197	919	551	923	242	7	1768	22438	45	930	1790	126774	2981	8348	1041	15257	487	99	951	993	9602	340	27	25136	5046	282	5274	496	270	61141	4445	11004	361	96	319
Rhodococcus fascians	1828	S	81	179	106	104	92	16	304	103	41	77	23	9	14	104	178	94	181	45	125	0	33	0	50	0	26	16	199	0	11	51	185	42	346	0	226	281	26	25	43	67	24	5	47	22	57	0	59	0	80	146	147	25	41	10	92	51	0	0	0	22	0	9	0	131	86	0	15	18	0	22	6	0	0	0	0	25	0	75	8	6	844	225	40	0	25	55
Rhodococcus sp. PBTS 1	1653478	S	11	0	7	22	0	0	5	0	35	0	0	0	0	277	112	31	0	0	212	0	0	82	0	0	0	0	0	59	0	70	7	0	0	0	18	0	0	0	0	0	0	0	0	0	0	418	259	231	0	0	0	25	0	0	25	0	0	0	429	0	0	0	0	149	149	0	41	0	0	17	355	0	0	0	0	0	0	60	0	0	917	106	30	308	7	0
Streptomyces sp. T12	477697	S	184	270	265	0	0	75	155	380	20013	152	507	248	2300	1849	100	9705	674	887	517	1282	675	2115	823	76	408	323	4523	156	584	639	28823	3137	10066	3722	1500	3679	643	367	2265	116	257	47	1613	734	1744	345	1165	308	1199	347	917	870	742	105	1051	38629	129	270275	438	12866	1232	5687	1046	14736	8109	89	965	6451	3107	18987	451	33	189	108	136	95	110	2758	177	1401	1332	9169	3344	553	569	1129
Streptomyces sp. HUAS CX7	3062782	S	51	0	616	0	0	81	70	216	87	181	191	29	68	32	41	99	55	95	0	0	0	41	0	0	66	35	130	195	142	0	57	109	0	130	36	70	0	30	0	116	108	93	0	167	0	147	73	0	0	0	708	0	69	91	0	276	130	0	83	0	81	296	2088	189	76	196	0	21	19	87	0	129	0	0	63	101	274	225	70	12	932	189	80	53	65	0
Actinomyces sp. oral taxon 169	712116	S	18	120	0	0	59	14	54	0	41	18	0	0	0	161	50	74	0	0	114	0	0	101	20	27	0	0	170	33	0	32	138	61	503	29	214	484	0	11	47	141	0	0	22	0	26	95	257	0	91	710	127	0	0	0	88	0	0	0	33	0	34	0	0	194	199	0	0	26	48	277	52	120	0	33	0	89	0	168	42	32	241	36	73	24	0	88
Actinomyces sp. oral taxon 171	706438	S	8	82	0	26	0	0	0	15	33	0	12	0	0	90	64	13143	35	0	58	52	0	48	0	0	0	0	111	81	13	0	87	0	187	0	73	886	15	26	24	15	15	0	8	22	7	68	232	59	8	706	62	0	0	0	70	0	0	0	72	0	0	0	0	165	70	0	28	13	32	24	140	47	0	16	0	0	0	88	0	0	162	42	22	14	7	36
Actinomyces sp. HMT 175	2789425	S	11	0	75	0	31	0	0	54	63	0	0	27	0	235	42	93	0	0	114	0	0	260	50	0	0	0	201	23	0	58	87	0	461	0	133	1252	15	31	0	129	0	0	26	77	51	0	0	92	32	324	0	0	0	0	103	0	0	0	0	0	0	0	0	226	483	0	0	0	67	195	0	0	0	0	0	0	0	89	0	0	320	215	46	0	0	181
Actinomyces naeslundii	1655	S	20	55	27	17	69	6	37	57	82	13	13	7	83	322	63	88	32	0	155	74	0	129	24	0	0	0	217	39	14	7	93	12	343	22	154	596	46	27	50	108	6	0	12	21	29	0	30	123	71	2083	68	22	0	12	110	25	17	0	79	0	0	1173	18	212	264	0	26	10	27	533	62	0	20	0	0	35	0	303	0	52	1387	170	37	11	0	80
Actinomyces oris	544580	S	22	211	66	53	19	46	130	31	129	82	65	0	182	719	200	246	259	0	127	328	0	325	19	64	20	242	930	322	81	149	518	33	1535	52	539	2564	97	39	105	196	260	0	134	93	123	68	1043	271	116	4918	879	74	135	45	553	156	0	0	290	89	120	4163	113	1559	1272	0	131	249	177	1139	0	170	85	43	44	155	34	558	0	49	394	823	270	110	70	534
Actinomyces massiliensis	461393	S	13	65	17	48	0	21	0	17	48	14	16	0	14	111	0	131	26	38	195	30	0	44	0	0	0	22	269	202	0	0	126	0	152	6	131	837	17	7	15	127	0	0	17	15	10	25	34	12	10	599	27	0	12	0	46	28	0	0	52	17	6	80	0	183	103	0	9	11	27	146	0	0	0	8	0	0	0	86	18	0	365	85	38	5	0	72
Schaalia odontolytica	1660	S	56	130	30	61	35	11	125	37	102	70	19	20	23	111	6	248	149	27	189	205	0	120	39	9	22	40	235	14	21	51	210	285	252	25	154	157	36	34	140	73	28	0	34	30	61	16	261	0	29	151	269	45	82	9	121	31	6	0	77	0	24	17	13	283	221	12	0	21	112	119	22	42	9	7	29	68	0	190	34	19	350	231	318	33	36	325
Winkia neuii	33007	S	14	65	21	29	102	11	37	56	120	0	0	38	99	14	0	39	15	33	40	0	0	111	62	0	9	0	38	96	22	0	44	82	32	15	35	104	301	25	0	29	0	36	5	9	0	196	19699	57	54	226	160574	16	717	0	26	0	0	461	548	56	67	23707	8891	388	103	728	21813	329	10	5134	1036	47	0	239	29847	2441	34	816	9222	58	44640	45999	339	1945	124	566
