name	taxonomy_id	taxonomy_lvl	ERR12026990	ERR12026990	ERR12026997	ERR12027002	ERR12027006	ERR12027014	ERR12027016	ERR12027023	ERR12027028	ERR12027036	ERR12027040	ERR12027049	ERR12027058	ERR12027060	ERR12027062	ERR12027070	ERR12027080	ERR12027086	ERR12027089	ERR12027103	ERR12027112	ERR12027117	ERR12027120	ERR12027128	ERR12027134	ERR12027141	ERR12027142	ERR12027144	ERR12027147	ERR12027154	ERR12027158	ERR12027168	ERR12027172	ERR12027184	ERR12027193	ERR12027195	ERR12027201	ERR12027206	ERR12027212	ERR12027221	ERR12027225	ERR12027235	ERR12027243	ERR12027269	ERR12027274	ERR12027284	ERR12027286	ERR12027307	ERR12027314	ERR12027322	ERR12027324	ERR12027327	ERR12027340	ERR12027342	ERR12027347	ERR12027349	ERR12027353	ERR12027357	ERR12027359	ERR12027372	ERR12027380	ERR12027399	ERR12027404	ERR12027407	ERR12027412	ERR12027417	ERR12027421	ERR12027425	ERR12027433	ERR12027437	ERR12027442	ERR12027446	ERR12027451	ERR12027458	ERR12027461	ERR12027470	ERR12027472	ERR12027475	ERR12027483	ERR12027491	ERR12027497	ERR12027502	ERR12027516	ERR12027521	ERR12027532	ERR12027538	ERR12027544	ERR12027552	ERR12027555	ERR12027559	ERR12027562	ERR12027568	ERR12027572	ERR12027580	ERR12027594	ERR12027606	ERR12027606
Actinomyces sp. oral taxon 169	712116	S	17	17	0	0	12	0	0	0	0	0	0	13	0	0	0	21	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	30	0	12	64	0	95	0	0	59	0	0	0	47	25	0	0	35	20	8	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	11	0	36	0	0	0	35	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
Actinomyces sp. zg-332	2708340	S	10	10	0	5	12	8	0	0	0	0	0	0	0	0	0	7	11	0	0	27	13	0	0	33	0	0	0	0	0	0	0	12	0	0	6	0	44	0	0	0	0	0	0	21	5	0	0	68	14	0	0	0	18	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	40	0	9	0	5	0	0	0	0	0	0	0	0	0	0	0
Actinomyces faecalis	2722820	S	11	11	0	0	7	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	14	0	0	8	13	0	5	0	0	0	11	10	0	0	24	0	10	0	0	5	0	7	0	0	0	0	8	0	0	12	0	0	0	0	0	0	0	0	0	0	8	12	11	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
Arcanobacterium haemolyticum	28264	S	22	22	8	6	151	31	0	12	0	22	5	37	0	0	0	32	18	83	0	122	116	0	0	96	6	6	0	0	0	0	0	87	0	47	81	0	40	16	0	105	27	48	0	132	117	0	0	177	20	21	0	0	80	0	0	0	0	0	0	19	0	38	0	0	7	0	0	0	0	0	73	18	0	0	0	0	0	0	0	22	0	24	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium pinnipediorum	1503041	S	10	10	8	0	26	17	0	0	0	10	0	13	0	0	0	16	8	37	0	54	60	0	0	9	0	0	0	0	0	0	0	23	0	19	31	0	15	0	0	20	5	11	0	72	70	0	0	125	12	16	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	10	0	0	0	0	0	0	0	9	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lawsonella clevelandensis	1528099	S	3790	3790	2964	7	22156	8334	12	1792	0	6194	1700	1631	0	5148	0	5522	7893	63882	33	80666	14728	260	27	4847	332	332	6	106	122	0	404	30847	39	7242	21042	0	1689	875	0	1153	7177	10845	0	233747	8257	3849	15	112479	481	3708	41	73	7565	0	1732	9	76	897	0	7971	0	15907	4753	207	1224	0	140	1820	249	7	50716	1256	0	38	6	876	0	967	766	8449	0	4022	137	4750	0	12	250	0	31	20	17	10	0	0	0	0	0
Corynebacterium tuberculostearicum	38304	S	164	164	23386	0	3266	20440	0	6098	82	567237	24892	2276	0	61381	24	60387	22399	2516	26	2717	7113	137	0	3936	0	0	0	0	1234	0	5519	81737	155	207388	3599	0	12674	119	0	127	257889	8421	0	3676576	63660	5	0	12206	1738	47	0	83	9445	0	383	18	90738	777	0	20111	0	3293	36	4114	9298	0	201	9747	7	0	65524	51540	11	13904	18507	13854	0	3035	313599	18250	0	731	247410	598	458	274728	4391	0	143	142	64	109	0	0	0	0	0
Corynebacterium sp. Z-1	3074378	S	21	21	0	0	52	294	0	0	0	0	0	0	0	11	0	384	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	245	0	910	0	0	0	0	0	0	90	110	0	163	617	0	0	367	0	0	0	0	0	0	0	0	0	0	0	140	0	25	0	0	0	0	0	0	0	0	243	22	0	0	0	0	0	0	123	0	0	15	31	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium kefirresidentii	1979527	S	29	29	553	0	732	1426	0	884	0	68395	1442	113	0	5347	0	1534	914	151	0	64	119	16	0	131	0	0	0	0	1380	0	605	6975	26	14981	32	0	182	9	0	0	52935	870	0	126771	1216	0	0	250	61	0	0	28	633	0	260	0	3176	2185	0	291	0	34	48	1690	292	0	11	845	0	0	108927	12000	0	305	660	254	0	149	32930	936	0	26	7909	40	0	8110	42	0	18	31	0	17	0	0	0	0	0
Corynebacterium kroppenstedtii	161879	S	9	9	10	0	18	63	0	8	0	2282	10	0	0	13	0	137	13	18	0	23	51	0	0	29	0	0	0	0	16	0	0	369	0	285	11	0	13	0	0	12	3249	369	0	3076	730	0	0	421	10	0	0	0	6	0	5	0	25	0	0	55	0	25	0	0	11	0	0	8	0	0	77	18	0	6	181	7	0	0	59	0	0	0	62	7	0	11647	0	0	10	27	0	9	0	0	0	0	0
