name	taxonomy_id	taxonomy_lvl	NEG	NC	TT28	TT54	TT20	TT81	TT60	AM26	AM24	AM29	AM13	TT21	AM48	TT55	TT23
Janibacter sp. DB-40	3028808	S	29	20	52	0	0	44	202	0	0	0	21	0	6	7	0
Janibacter limosus	53458	S	246	95	269	0	21	312	843	0	9	0	28	0	21	15	0
Janibacter indicus	857417	S	326	801	1102	26	148	1229	2914	0	12	0	87	0	48	84	0
Janibacter melonis	262209	S	53	60	110	0	76	146	484	0	0	0	67	0	35	13	0
Janibacter cremeus	1285192	S	24	28	42	0	12	55	146	0	0	0	25	0	10	0	0
Phycicoccus sp. HDW14	2714941	S	27	42	24	0	8	34	116	5	0	0	84	0	15	0	0
Intrasporangium calvum	53358	S	7	11	19	0	0	17	69	0	0	0	74	0	0	0	0
Microbacterium sp. Nx66	2766784	S	59	20	61	0	21	294	3877	0	0	0	69	0	19	0	0
Microbacterium sp. cx-55	2875948	S	29	9	46	0	12	26	99	0	0	0	57	0	0	0	0
Microbacterium sp. 1S1	2606451	S	26	18	38	0	15	83	83	0	0	0	70	0	14	0	0
Microbacterium sp. str. 'China'	2103230	S	48	0	60	0	0	342	287	0	0	0	0	0	0	17	0
Microbacterium sp. KUDC0406	2909588	S	13	0	33	0	0	22	43	0	0	0	42	0	21	0	0
Microbacterium sp. No. 7	1714373	S	12	26	105	0	14	85	94	0	0	0	112	0	8	0	0
Microbacterium sp. zg-B185	3049070	S	12	15	36	0	0	40	62	0	0	0	65	0	9	0	0
Microbacterium sp. SSW1-51	2851650	S	10	32	49	10	18	60	87	0	0	0	868	0	0	0	0
Microbacterium sp. zg-Y625	3049071	S	11	14	47	0	13	40	55	0	0	0	99	0	0	0	0
Microbacterium sp. PM5	2014534	S	10	30	2342	9	75	162	203	90	0	0	130	0	7	5	0
Microbacterium sp. SL75	2995140	S	10	0	53	0	15	41	41	0	0	0	54	0	0	0	0
Microbacterium sp. 10M-3C3	2483401	S	9	12	112	0	32	57	110	0	0	0	130	0	0	0	0
Microbacterium sp. Y-01	2048898	S	8	48	57	0	34	319	352	0	0	0	69	0	11	0	0
Microbacterium sp. CGR1	1696072	S	14	0	55	0	0	29	20	0	0	0	0	0	0	0	0
Microbacterium sp. 4R-513	2567934	S	5	32	55	7	31	64	82	0	0	0	118	0	28	0	0
Microbacterium sp. PAMC 28756	1795053	S	19	0	173	0	0	268	112	0	0	0	0	0	0	38	0
Microbacterium aurum	36805	S	46	167	405	34	120	512	634	0	0	0	210	5	8	7	0
Microbacterium oleivorans	273677	S	35	28	80	9	35	98	198	0	0	0	180	0	9	0	0
Microbacterium terricola	344163	S	22	21	45	0	9	59	56	0	0	0	97	0	0	0	0
Microbacterium testaceum	2033	S	16	31	387	13	39	116	280	0	0	0	248	0	21	0	0
Microbacterium cremeum	2782169	S	16	8	43	0	20	45	77	0	0	0	77	0	0	0	0
Microbacterium atlanticum	2782168	S	13	25	53	0	10	29	55	5	0	0	77	0	0	0	0
Microbacterium chengjingii	2769067	S	11	0	0	0	0	0	17	0	0	0	8	0	0	0	0
Microbacterium oryzae	743009	S	10	9	66	0	0	34	60	0	0	0	66	0	0	0	0
Microbacterium wangchenii	2541726	S	9	0	24	0	0	31	58	0	0	0	64	0	0	0	0
Microbacterium sediminis	904291	S	9	79	245	13	22	118	99	6	0	0	57	13	15	11	0
Microbacterium oxydans	82380	S	9	1276	1500	87	366	1646	2123	14	29	0	191	9	201	0	0
Microbacterium pygmaeum	370764	S	7	17	34	0	13	69	60	0	0	0	89	0	0	0	0
Microbacterium hominis	162426	S	10	23	357	22	106	203	199	0	0	0	553	12	12	0	0
Microbacterium suwonense	683047	S	5	0	47	0	16	40	49	0	0	0	76	0	0	0	0
Microbacterium azadirachtae	582680	S	5	0	31	0	5	27	11	0	0	0	69	0	11	0	0
Microbacterium lemovicicum	1072463	S	5	128	100	0	15	183	154	0	0	0	56	0	16	0	0
Curtobacterium sp. MCLR17_007	2175648	S	24	133	123	0	30	210	150	0	0	0	65	0	21	0	0
Curtobacterium flaccumfaciens	2035	S	16	620	3375	238	322	1678	2262	89	0	0	178	28	25	0	0
Rathayibacter oskolensis	1891671	S	32	0	0	0	0	72	37	0	0	0	21	0	0	0	0
Gulosibacter molinativorax	256821	S	17	6	13	0	5	16	27	0	0	0	7	0	0	7	0
Gulosibacter sediminis	1729695	S	14	0	30	0	0	31	99	0	0	0	21	0	6	10	0
Agromyces marinus	1389020	S	19	10	12	0	0	21	33	0	0	0	51	0	0	0	0
Leucobacter sp. Psy1	2875729	S	8	0	11	8	5	13	33	0	0	0	6	0	0	0	0
Leucobacter insecticola	2714934	S	6	0	11	0	0	8	11	0	0	0	12	0	0	0	0
Clavibacter californiensis	1401995	S	13	0	16	0	0	12	26	0	0	0	13	0	10	0	0
Protaetiibacter larvae	2592654	S	12	11	23	0	0	19	38	0	0	0	37	0	0	0	0
Leifsonia sp. 21MFCrub1.1	1798223	S	8	23	20	0	0	33	63	0	0	0	95	0	0	0	0
Frondihabitans sp. 762G35	1446794	S	12	20	28	0	12	55	93	0	0	0	36	0	0	0	0
Agrococcus sp. Marseille-Q4369	2810513	S	11	21	48	0	9	27	39	0	0	0	81	0	0	0	0
Cnuibacter physcomitrellae	1619308	S	10	24	21	0	8	54	88	0	0	0	42	0	0	0	0
Microterricola viridarii	412690	S	9	24	23	0	9	21	69	0	0	0	111	0	16	0	0
Marisediminicola antarctica	674079	S	5	27	26	0	0	23	44	0	0	0	17	0	0	0	0
Brachybacterium sp. GU-2	3069708	S	180	307	610	31	113	415	31566	14	10	0	74	0	12	271	0
Brachybacterium sp. NBEC-018	2996004	S	15	18	37	0	0	12	234	0	0	0	21	0	9	11	0
Brachybacterium sp. P6-10-X1	1903186	S	5	26	27	0	28	31	397	0	0	0	44	0	7	16	0
Brachybacterium sp. SGAir0954	2571029	S	5	0	49	0	27	37	380	0	0	13	12	0	0	15	0
Brachybacterium halotolerans	2795215	S	16	12	12	0	0	0	111	0	0	0	21	0	5	13	0
Brachybacterium vulturis	2017484	S	14	8	9	0	30	16	249	0	0	0	34	0	0	10	0
Brachybacterium saurashtrense	556288	S	9	42	66	0	43	72	804	0	0	0	43	0	0	40	0
Dermabacter vaginalis	1630135	S	30	51	60	5	29	68	165	0	7	0	0	42	26	12	0
Dermabacter jinjuensis	1667168	S	15	26	231	23	58	67	160	7	0	32	0	117	8	10	0
Brevibacterium sp. CS2	2575923	S	93	207	688	20	211	422	1129	42	40	0	70	0	79	92	0
Brevibacterium casei	33889	S	65	164	749	43	268	619	1218	23	16	0	54	12	101	20	0
Brevibacterium aurantiacum	273384	S	22	208	211	20	48	274	514	0	10	0	25	0	81	0	0
Brevibacterium spongiae	2909672	S	17	5	16	0	5	12	170	0	0	0	5	0	0	0	0
Dermacoccus nishinomiyaensis	1274	S	103	200	559	15	89	454	2522	0	0	0	52	16	0	114	0
Dermacoccus sp. PAMC28757	2762331	S	53	278	519	8	39	222	516	0	0	0	12	7	5	0	0
Barrientosiimonas endolithica	1535208	S	9	24	29	0	13	101	101	0	0	0	78	6	0	0	0
Ornithinimicrobium flavum	1288636	S	21	29	82	0	8	79	117	0	0	0	39	0	8	11	0
Ornithinimicrobium sp. HY006	2508882	S	21	0	33	0	0	44	111	0	0	0	45	0	0	0	0
Ornithinimicrobium ciconiae	2594265	S	13	9	6	0	0	16	45	0	0	0	26	0	5	0	0
Ornithinimicrobium avium	2283195	S	6	22	28	0	7	27	130	0	0	0	28	0	0	0	0
Kytococcus sedentarius	1276	S	45	661	574	16	134	799	1484	27	36	0	55	13	32	24	0
Cellulomonas fimi	1708	S	14	26	56	0	14	17	116	0	0	0	1656	0	15	0	17
Cellulomonas shaoxiangyii	2566013	S	8	13	15	0	0	12	43	0	0	0	530	0	7	0	0
Cellulosimicrobium sp. TH-20	1980001	S	18	0	0	0	0	0	65	0	0	0	45	0	0	0	0
